# lang=ar
العبرية	الْعِبْرَانِيَّة
سوريا	سُورِيَّة
سوريا	الشَام
أورشليم	اَلْقُدْس
أورشليم	بَيْت اَلْمَقْدِس
الأحد	يَوْم الْأَحَد
جمال	حُسْن
حقيقة	حَقّ
أبجدي	أَلِفْبَائِيّ
بان	بَنَّاء
حصان	فَرَس
حصان	خَيْل
أب	وَالِد
ابتاع	اِشْتَرَى
الولايات المتحدة	الْوِلَايَات الْمُتَّحِدَة الْأَمْرِيكِيَّة
الولايات المتحدة	أَمْرِيكَا
الولايات المتحدة	أَمِيرِكَا
الولايات المتحدة الأمريكية	الْوِلَايَات الْمُتَّحِدَة
موت	مَنِيَّة
موت	حِمَام
موت	هَلَاك
موت	وَفَاة
موت	حَتْف
ترجمان	مُتَرْجِم
طهران	زَوْرَاء
مني	سَائِل مَنَوِيّ
عجل	عَجِيل
عجل	عَجْلَان
عجل	سَرِيع
عجل	مُسْرِع
محرم	مُحَرَّم الْحَرَام
شوال	وَعِل
الخميس	يَوْم الْخَمِيس
السبت	يَوْم السَّبْت
الثلاثاء	يَوْم الثُّلَاثَاء
الأربعاء	يَوْم الْأَرْبِعَاء
تابوت	نَعْش
تابوت	عُلْبَة
تابوت	صُنْدُوق
هدوء	سُكُون
شمال	يَسَار
وسخ	دَرَن
وسخ	قَذَر
عند	لَدَى
عند	لَدُنْ
هناك	ثَمَّ
صباح	صَبْحَان
صباح	صَبِيح
صباح	صَبُوح
س	سَوْفَ
ك	مِثْلَ
ل	لِأَنْ
زنجي	زنج
مار	قديس
عبري	عِبْرَانِيّ
القاعدة	فَرَنْجِيّ
تلفون	هَاتِف
برج	حِصْن
برج	قِلْعَة
برج	قَلْعَة
برج	مَعْقِل
فيزياء	فِيزِيقَا
شاه	ملك
سحر	فَجْر
سحر	غَدَاة
سحر	صُبْح
سحر	بُكْرَة
حج	حِجَّة
خباز	فَرَّان
رخ	fortress
رخ	castle
رخ	طَابِيَة
رخ	قلعَة
قصاب	جَزّار
قصاب	لَحّام
زحل	کیوان
زحل	نَكْرُ
زحل	[[نَكْرُ
زحل	نَحْس
زحل	نَحْس
فلافل	طَعْمِيَّة
بيدق	بَيْذَق
بيدق	جُنْد
أصغى	اِسْتَمَعَ
أصغى	نَصَتَ
منهج	مِنْهَاج
المدينة	اَلْمَدِينَة الْمُنَوَّرَة
المدينة	يَثْرِب
عجمي	أَعْجَم
ممطر	ممطرَة
صيام	صَوْم
بجانب	إِلَى جَانِبِ
قانون	نَامُوس
قانون	شَرِيعَة
شرغوف	فَرْخُ الضِّفْدَع
عبرية	عِبْرَانِيَّة
لعاب	رِيق
ريق	رِيقَة
ريق	لُعَاب
كابوس	جُثام
كابوس	جَاثُوم
كابوس	أَبُو البَارُوك
كابوس	بَارُوك
كابوس	نِئْدَلَاْن
المدينة المنورة	الْمَدِينَة
سخان	سَخَّانَة
نفس	عَيْن
سموم	هبوب
أم	قَصَدَ
صودا	رماد الصودا
صودا	صودا الغسيل
صودا	كربونات الصوديوم
فرحان	فَرِح
فرحان	فَارِح
حكم	قَضَى
نقطتان	شارحَة
عفج	اِثْنَا عَشَر
قرص	قَبَصَ
قرص	لَسَعَ
قرص	لَذَعَ
قرص	لَدَغَ
خطر	خُطُورَة
كون	كَيْنُونَة
كون	كِيَان
عزرائيل	مَلَك المَوْتِ
أورانوس	[[القُزَح]]
أورانوس	القُزَح
أورانوس	[[رَمَان]]
أورانوس	رَمَان
