# lang=ca
gratis	free, for free
on	where
raptor	kidnapper, abductor
nu	nude, naked
nu	barren, bare
accessible	approachable
de	of; from
color	, colour
color	flush
en	when, upon, on (doing something)
van	used to form periphrastic past
te	you, thee (direct or indirect object)
te	yourself (reflexive pronoun)
zero	; origin point of a scale
quarter	fourth
quarter	trapdoor
i	and; used to connect two similar words, phrases, sentences, etc.; as well as; together with; in addition to
CE	EC (European Community)
be	sheep, ram, ewe, lamb; an individual of the species
fart	stuffed
fart	fed up
mandat	writ, warrant, order
mandat	mandate
mandat	power of attorney
port	, harbour
port	the action of carrying something from one place to another
port	the volume a boat or another vehicle can carry
bot	jump, leap
bot	wineskin
estar	to be; to currently be in a state or have a characteristic
estar	to stay, to live or spending time.
singular	singular
secret	secret
secret	secret
fiscal	, tax
fiscal	public prosecutor , district attorney
fruit	offspring
fruit	result, consequence
mundial	global
mundial	world cup
company	companion, colleague
company	partner, mate
company	buddy, friend
colon	colonist, settler
colon	farmer during the Roman Empire
mi	(third note of diatonic scale)
mi	mu; the Greek alphabet letter Μ (lowercase μ)
país	country, land
país	country
amar	to love, have great affection for, care about
absurd	absurdity
abundant	; plentiful
accent	stress
accent	tone, sound
generar	to generate, create
crear	to create
dar	to give
tigre	tiger
cast	chaste
pit	breast
pit	force to support the castell, provided by the castellers in the pinya by pressing their chest onto the back of the casteller in front of them
pi	pine; evergreen tree of the genus
pi	pinewood
pi	Pi; the Greek letter Π (lowercase π)
sol	the Sun (the center of our solar system)
sol	(a unit of currency used in Peru)
humor	humour
el	; the; what, that which
el	him (direct object)
for	tax, rate
for	exchange rate, market value
for	forum
fall	cliff
alpaca	nickel silver
abandonar	to abandon
to	tone or shade of a color
regular	normal, average
pom	bunch, bouquet
pom	pommel, knob, doorknob
pom	a scent-bottle with a rounded shape
mill	millet
all	garlic
all	garlic clove
angle	Anglian
ant	elk, moose
argument	(reason)
argument	plot, storyline
art	fishing net
as	an ace
as	an ace
as	an ace
accident	accidental
parent	relative
son	his, her, its
son	their
son	your (alluding to or )
car	expensive
car	as, since, because, for
habitable	, inhabitable
habitual	; usual
anterior	previous
anterior	front
tan	so, such
tan	as ... as
bronze	bronze medal
coral	strong, close (relationship)
coral	choral
coral	chorus music
hi	represents a place associated with the action described by the verb, unless the place would be introduced by the preposition de
hi	there (in constructions such as "there is", "there are", etc.: see )
hi	replaces an adverb (or adverbial phrase) describing the manner, instrument or association of an action
