# lang=en
free	unfree
connotation	denotation
abacist	algorist
abatement	development
abatement	aggrandizement
abatement	enlargement
abatement	increment
abatement	growth
abatement	accretion
abatement	accession
abatement	increase
abatement	augmentation
abatement	dilation
abaxial	adaxial
abbreviation	expansion
abbreviation	enlargement
abbreviation	amplification
abbreviation	extension
abbreviation	production
abbreviation	expatiation
abbreviation	dilation
abdicate	claim
abdicate	grasp
abdicate	maintain
abdicate	occupy
abdicate	retain
abdicate	seize
abdicate	usurp
abduct	adduct
abduct	reinstate
abduct	restore
abduction	replacement
abduction	reinstatement
abduction	restitution
abduction	restoration
abduction	surrender
abduction	adduction
abductor	abductee
ability	inability
ability	unability
ability	disability
abjugate	subjugate
abjugate	adjugate
abnormality	normality
above-mentioned	following
above-mentioned	undermentioned
abrogate	establish
abrogate	fix
abrogate	promulgate
on	off
on	off
absoluteness	conditionality
absoluteness	limitedness
absoluteness	relativity
absonant	consonant
abstractness	concreteness
abusive	unabusive
abusive	abuseless
abusive	nonabusive
accept	decline
accept	reject
acceptability	unacceptability
acceptability	inacceptability
accessible	inaccessible
accidentally	on purpose
accidentally	designedly
accidentally	purposely
accidentally	deliberately
accidentally	by choice
accidentally	intentionally
accidentally	by design
accidentally	advisedly
acclivous	declivous
accrual	deferral
accrual	prepayment
accurate	inaccurate
summer	winter
color	decolor
in	out
domestic debt	foreign debt
birth	death
obfuscate	explain
obfuscate	simplify
zero	pole
oxymoron	pleonasm
oxymoron	redundancy
acid	alkaline
acid	base
growth	reduction
growth	decrement
growth	contraction
growth	decrease
growth	nondevelopment
quarter	quadruple
everywhen	never
AD	A.C.
AD	BCE
AD	BC
AD	b.c.
AD	AC
AD	B.C.
seme	uke
few	many
BCE	CE
BC	anno Domini
BC	Anno Domini
BC	A.D.
BC	Christian Era
BC	Common Era
BC	Current Era
BC	a.d.
BC	AD
BC	in the year of our Lord
BC	CE
CE	BCE
CE	B.C.E.
prolix	taciturn
biblical	nonbiblical
biblical	unbiblical
cataphora	anaphora
subjectivism	objectivism
port	starboard
anti-Semitism	philosemitism
anti-Semitism	philo-Semitism
anti-Semitism	prosemitism
anti-Semitism	pro-Semitism
transitive verb	intransitive verb
tighten	loosen
epizootic	enzootic
everybody	nobody
everybody	no one
everybody	negates
reality	fantasy
conceal	reveal
conceal	uncover
conceal	admit
secret	overt
war	peace
viable	inviable
unemployment	reemployment
unemployment	employment
deficit	surplus
open	closed
open	shut
open	without prejudice
open	closed
open	checked
open	closed-source
open	proprietary
consensus	dissensus
slow	Thesaurus:speedy
slow	fast
slow	rapid
slow	quick
slow	swift
slow	sudden
slow	abrupt
slow	Thesaurus:sudden
slow	quick-witted
slow	Thesaurus:intelligent
slow	keen
slow	quick
slow	Thesaurus:prompt
slow	hasty
slow	prompt
slow	precipitate
slow	fast
slow	accurate
slow	brisk
slow	Thesaurus:active
slow	lively
slow	hectic
gratuitous	onerous
global	regional
global	domestic
global	national
global	local
global	local
last	disintegrate
last	dissipate
last	fall apart
last	wear out
increase	plunge
increase	decrease
increase	Thesaurus:decrease
increase	sink
increase	fall
increase	drop
increase	reduce
increase	plummet
increase	go down
increase	shrink
increase	lower
increase	decrease
increase	Thesaurus:diminish
increase	cut
increase	reduce
increase	decrement
increase	wane
add	subtract
add	remove
frequency	period
wireless	wired
digital	nondigital
digital	undigital
digital	analogue
digital	continuous
digital	analog
careful	careless
incorporated	unincorporated
shrink	enlarge
shrink	expand
shrink	grow
shrink	stretch
shrink	enlarge
shrink	expand
shrink	grow
shrink	stretch
political	nonpolitical
political	non-political
early	late
early	terminal
love	despise
love	fear
love	hate
standard	nonstandard
standard	non-standard
industrial	nonindustrial
industrial	unindustrial
trade deficit	trade surplus
absence	presence
absence	existence
absence	sufficiency
absence	possession
absolute	limited
absolute	conditional
absolute	dependent
absolute	relative
absorb	emit
abstraction	specialization
abstraction	Thesaurus:specialization
abstraction	concretization
accelerate	decelerate
accelerate	retard
accelerate	unaccelerate
acceleration	deceleration
acceleration	retardation
accrue	amortize
accrue	prepay
accrue	defer
accumulation	decumulation
accuracy	inaccuracy
acidify	alkalify
acidify	basify
acidosis	alkalosis
night	Thesaurus:daytime
night	day
night	daylight
night	light
night	brightness
cow	steer
cow	bull
cow	ox
cow	heifer
yes	no
yes	negative
yes	nay
yes	nope
yes	nah
yes	ixnay
yes	naw
yes	Thesaurus:no
pronunciation	mispronunciation
derivative	coincidental
derivative	antiderivative
derivative	integral
security	insecurity
thin	thick
close	beginning
close	start
buy	vend
buy	sell
buy	cheap
buy	pitch
buy	disbelieve
buy	reject
next	previous
minuscule	majuscule
minuscule	uppercase
nuisance	enjoyment
blue	unblue
blue	nonblue
blue	red
blue	Republican
blue	conservative
blue	red
blue	antiblue
purple	nonpurple
red	unred
red	nonred
red	antired
prime number	composite number
younger	elder
younger	older
young	grown up
young	elderly
young	senior
young	aged
young	youthless
young	old
young	mature
young	aged
young	youthless
young	elderly
young	old
young	mature
young	senior
young	elderly
young	mature
young	experienced
young	veteran
wrought	unwrought
wrong	right
heinous	unheinous
write	retrieve
write	read
write	load
worst	best
worst	optimal
edible	inedible
laugh	cry
laugh	weep
colloquial	formal
colloquial	professional
colloquial	literary
colloquial	bookish
noon	midnight
symptom	cause
parallel	antiparallel
parallel	perpendicular
parallel	skew
rational	nonsensical
rational	absurd
rational	arbitrary
rational	irrational
rational	non-rational
rational	arational
rational	irrational
rational	irrational
invest	divest
invest	divest
invest	disinvest
invest	divest
league	non-league
existence	nonexistence
existence	nothingness
existence	Thesaurus:inexistence
some	many
some	much
some	none
adroit	clumsy
adroit	maladroit
toe	heel
toe	tail
toe	heel
for	against
fall	ascend
fall	go
fall	rise
fall	pick up
fall	stand up
fall	get up
fall	smite
fall	defeat
fall	beat
fall	vanquish
fall	overthrow
fall	rise
finish	initiate
finish	begin
finish	start
anarchy	nonanarchy
anarchy	government
anarchy	order
antecedent	consequent
antecedent	succedent
antecedent	anaphor
definite article	indefinite article
main verb	auxiliary verb
main verb	helping verb
auxiliary verb	full verb
auxiliary verb	modal verb
auxiliary verb	modal
passive voice	active voice
consonant	disconsonant
consonant	dissonant
consonant	discordant
indefinite article	definite article
irregular	regular
ordinal number	cardinal
ordinal number	cardinal numeral
ordinal number	cardinal number
regular	irregular
regular	non-regular
regular	nonregular
art	subsistence
art	nature
art	mundacity
north	south
east	westward
east	westerly
east	western
right	duty
right	obligation
father	mother
father	daughter
father	son
father	child
mother	father
mother	son
mother	daughter
mother	offspring
mother	child
child	mother
child	father
child	parent
child	adult
child	parent
son	daughter
son	mother
son	father
son	parent
daughter	son
daughter	mother
daughter	father
daughter	parent
grandparent	grandchild
grandmother	grandfather
grandmother	granddaughter
grandmother	grandson
grandmother	grandchild
grandchild	grandparent
uncle	aunt
uncle	nephew
uncle	niece
uncle	boy
uncle	aunty
aunt	uncle
aunt	nephew
aunt	niece
niece	nephew
niece	uncle
niece	aunt
warm	cool
warm	cold
