# lang=es
interior	exterior
vertical	horizontal
alguien	nadie
allá	acá
allá	aquí
ahí	acá
ahí	aquí
más	menos
llegar	partir
llegar	salir
nuevo	viejo
triste	alegre
probable	improbable
inferior	superior
perder	ganar
sensible	insensible
viva	abajo
izquierda	derecha
derecha	izquierda
arriba	abajo
utilidad	inutilidad
primero	último
mucho	poco
falso	verdadero
peor	mejor
jefe	subalterno
jefe	subordinado
verdad	mentira
verdad	falsedad
mejor	peor
construir	deconstruir
construir	destruir
cerca	lejos
existencia	inexistencia
seguridad	inseguridad
potencia	impotencia
traición	lealtad
legalizar	ilegalizar
minoría	mayoría
dificultad	facilidad
favorecer	desfavorecer
difícil	fácil
imposible	posible
pobre	rico
olvidar	acordar
olvidar	recordar
sordo	sonoro
vanguardia	retaguardia
consuelo	desconsuelo
consuelo	desolación
maldad	bondad
exitoso	fracasado
exitoso	fallido
exitoso	infructuoso
desajustar	ajustar
enfundar	desenfundar
disgusto	gusto
honrado	deshonrado
subestimar	sobrestimar
vicio	virtud
envolver	desenvolver
impotente	potente
sonoro	insonoro
componer	descomponer
desenvolver	envolver
seguro	inseguro
poligamia	monogamia
descalzar	calzar
déficit	superávit
parejo	disparejo
calzar	descalzar
responsabilidad	irresponsabilidad
femenino	masculino
multilingüe	monolingüe
fusión	escisión
réplica	premonitor
ausencia	presencia
ilusión	desilusión
descarga	cargar
confiado	desconfiado
accesorio	principal
desigual	igual
nocturno	diurno
sensibilidad	insensibilidad
optimista	pesimista
decencia	indecencia
idiotez	brillantez
apasionado	desapasionado
racional	irracional
ubicado	desubicado
movilizar	inmovilizar
movilizar	desmovilizar
inmóvil	móvil
vigencia	caducidad
vigencia	vencimiento
buen gusto	mal gusto
aliñado	desaliñado
aliñado	soso
taurino	antitaurino
indirecto	directo
asequible	inasequible
desequilibrio	equilibrio
coherencia	incoherencia
incapacidad	capacidad
un poco	mucho
argüende	tranquilidad
argüende	calma
argüende	quietud
tratable	intratable
surrealista	realista
consciencia	inconsciencia
disparejo	parejo
mandilón	macho
mandilón	machista
mandilón	muy hombre
impotencia	potencia
lejanía	cercanía
inequívoco	equívoco
inverosímil	verosímil
premonitor	réplica
volición	nolición
desatender	atender
traducible	intraducible
macroeconomía	microeconomía
monógamo	polígamo
corregible	incorregible
trucho	genuino
trucho	real
trucho	auténtico
inalámbrico	alámbrico
inapetencia	apetencia
desordenadamente	ordenadamente
a favor	contra
a favor	en oposición a
patriarcado	matriarcado
prospección	retrospección
ganar peso	perder peso
matriarcado	patriarcado
deshabilitar	habilitar
en diferido	en directo
gran pantalla	pequeña pantalla
deseleccionar	seleccionar
por delante	por detrás
