# lang=es
Navidad	Crismes
gustar	encantar
gustar	molar
gustar	apetecer
gustar	antojar
gustar	bien
gustar	parecer
gustar	caer bien
gustar	agradar
gustar	encular
gustar	enamorado
gustar	estar
gustar	de
gustar	encantar
gustar	fascinar
gustar	adorar
tope	borda
exitoso	logrado
exitoso	triunfante
exitoso	triunfador
exitoso	próspero
exitoso	afortunado
encarrilar	encaminar
renda	arriendo
chisme	cacharro
albañil	obrero de villa
fanega	fanegada
abubilla	abubute
abubilla	gurgute
abubilla	cucute
abubilla	cutut
abubilla	cuscut
abubilla	cututa
abubilla	papute
abubilla	tabobo
abubilla	apupu
abubilla	bubidilla
abubilla	bubulilla
abubilla	poipa
favonio	céfiro
favonio	poniente
minerva	collarín
lichi	lechía
me cago en la leche	joder
me cago en la leche	mierda
me cago en la leche	cago la ley
me cago en la leche	me cago en Dios
me cago en la leche	me cago en diola
me cago en la leche	me cago en diez
me cago en la leche	me cago en el mar
me cago en la leche	me cago en la mar salada
me cago en la leche	me cago en la mar
me cago en la leche	me cago en la mar salá'
me cago en la leche	me cago en la hostia
me cago en la leche	me cago en la puta
me cago en la leche	me cago en la Virgen
me cago en la leche	me cago en todo
me cago en la leche	me cago en todo lo que se menea
me cago en la leche	me cago en tu familia
me cago en la leche	me cago en tu puta madre
me cago en la leche	me cago en tu puta madre que te parió
me cago en la leche	me cago en tus muelas
me cago en la leche	me cago en tus muertos
me cago en la leche	me cago en la leche que te han dado
foh	puaj
foh	uf
redes sociales	RRSS
besucón	besucador
besucón	besuquero
pesadez	pesantez
cerril	cerrero
chaflán	ochava
jiñado	acojonado
jiñado	cagado
jiñado	miedoso
celemín	almud
corzuela	venado colorado
corzuela	guazo
corzuela	guazuncho
corzuela	corzuela colorada
corzuela	matacán
tequereque	teterete
mijilla	un poco
mijilla	poquito
mijilla	pizca
antinomianista	antinomiano
antinomianista	antinomismo
lechía	lichi
asaí	manaca
no veas	madre mía
no veas	tela
galipo	gallo
galipo	gargajo
galipo	esputo
parián	alcaicería
parián	mercado
parián	tianguis
parián	bazar
parián	zoco
a mano armada	de mano armada
cocolo	negro
cocolo	prieto
cocolo	Thesaurus:person of color
estar para el tigre	estar para el arrastre
qué fue	qué pasó
qué fue	qué pasa
qué fue	mande
con gusto	mucho gusto
con gusto	con mucho gusto
con gusto	de nada
chócolo	mazorca de maíz
chócolo	choclo
chócolo	elote
chócolo	maíz
chócolo	choclo
hogao	ahogado
hogao	hogo
volar la raja	sacar la chucha
volar la raja	sacar la mugre
volar la raja	vapulear
segundear	secundar
segundear	apoyar
segundear	respaldar
es o no es	¿a que sí?
es o no es	¿verdad?
es o no es	¿no?
ven pacá	ven aquí
ven pacá	ven para acá
engurruñido	arrugado
engurruñido	encogido
engurruñido	hecho un gurruño
bonico	bonito
bonico	lindo
bonico	majo
lavín compae	la virgen
lavín compae	madre mía
Elagábalo	Heliogábalo
