# lang=fr
accessible	inaccessible
global	régional
global	local
global	spécifique
global	particulier
mobile	immobile
finale	initiale
chance	adversité
chance	guigne
chance	malchance
chance	malheur
abbé	abbesse
abbé	abbess
mini	maxi
violence	douceur
top	bottom
bonjour	au revoir
bon	mal
bon	mauvais
fils	fille
fils	père
fils	père
dos	tranchant
bonus	malus
gai	sombre
gai	triste
léger	pesant
léger	lourd
léger	massif
occident	orient
descendant	ancêtre
descendant	ascendant
europhile	europhobe
a priori	a posteriori
social	antisocial
social	asocial
fort	faible
abaisser	élever
abaisser	hausser
abaisser	glorifier
sur	sous
sur	dessous
sur	au-dessous de
connu	inconnu
meilleur	pire
fermer	ouvrir
imparfait	parfait
conscience	inconscience
latitude	longitude
vive	à bas
obligatoire	facultatif
obligatoire	optionnel
ouvrir	fermer
unir	séparer
suivre	mener
en retard	en avance
éteindre	allumer
moins	plus
confinement	déconfinement
mauvais	bon
lumière	obscurité
lumière	ténèbre
dernier	premier
ascendance	descendance
faim	satiété
ort	net
rapide	lent
embarras	débarras
embarras	aisance
embarras	désinvolture
mâle	femelle
droite	gauche
obéir	désobéir
désobéir	obéir
calme	agité
calme	turbulent
malheur	bonheur
doucement	durement
taire	dire
taire	parler
taire	répliquer
apporter	emporter
malheureusement	heureusement
supérieur	inférieur
supérieur	strictement inférieur
centré	acentré
grossir	amincir
grossir	maigrir
grossir	mincir
féminin	masculin
digestif	apéritif
dessus	dessous
efficace	inefficace
initiale	finale
existant	inexistant
organiser	désorganiser
confiance	défiance
volontaire	involontaire
mener	suivre
terrestre	aquatique
terrestre	céleste
terrestre	extraterrestre
interdire	autoriser
interdire	permettre
utopie	dystopie
tachy-	brady-
femelle	mâle
équilibrer	déséquilibrer
discret	indiscret
négatif	positif
positif	négatif
enfer	paradis
beau-fils	beau-père
lever du soleil	coucher de soleil
décrocher	raccrocher
paradis	enfer
vraisemblance	invraisemblance
endormi	éveillé
éveillé	endormi
inférieur	supérieur
inférieur	strictement supérieur
nuitée	journée
hivernal	estival
diminuer	augmenter
montée	descente
embarquer	débarquer
valorisation	dévalorisation
immeuble	meuble
mêler	purifier
autochtone	allochtone
aller simple	aller-retour
embarquement	désembarquement
vicieux	vertueux
conscient	inconscient
refoulement	non-refoulement
confortable	inconfortable
centriste	extrémiste
ardu	aisé
aléatoire	déterministe
abandonnateur	abandonnataire
abandonnataire	abandonnateur
en haut	en bas
détaché	lié
exclure	inclure
collectivisme	individualisme
irrégulier	régulier
anxiété	calme
anxiété	confiance
anxiété	sérénité
féroce	humain
islamophobie	islamophilie
islamophobie	islamophile
islamophobie	musulmanophile
islamophobie	musulmanophilie
ultérieur	antérieur
ultérieur	citérieur
indésirable	désirable
demandeur	défendeur
après la lettre	avant la lettre
avec la lettre	avant la lettre
orthodoxe	déviationniste
orthodoxe	hétérodoxe
enraciner	déraciner
pseudonyme	aléthonyme
pseudonyme	orthonyme
matérialisme	idéalisme
matérialisme	spiritualisme
agrément	désagrément
illettré	lettré
lettré	illettré
embrayer	débrayer
évitable	inéluctable
évitable	inévitable
laxatif	styptique
laxatif	astrictif
laxatif	astringent
crémer	écrémer
jouisseur	ascète
jouisseur	peine-à-jouir
slavophile	slavophobe
slavophile	occidentaliste
impraticable	praticable
emmailloter	démailloter
verbe transitif	verbe intransitif
verbe intransitif	verbe transitif
absentéisme	présentéisme
débrayer	embrayer
apéro	digeo
brady-	tachy-
étoile du soir	étoile du matin
débranchement	branchement
branchement	débranchement
patriarcat	matriarcat
brider	débrider
blanchissement	noircissement
fécond	infécond
infécond	fécond
accoutumance	désaccoutumance
accoutumance	inaccoutumance
désagrément	agrément
alphabétiser	analphabétiser
codeur	décodeur
déracinement	enracinement
contrôlable	incontrôlable
ondulatoire	corpusculaire
raréfaction	condensation
corpusculaire	ondulatoire
là-dessus	là-dessous
non-résistance	insoumission
non-résistance	réaction
non-résistance	bellicisme
non-résistance	coercition
non-résistance	vindicte
décalotter	recalotter
aphroditique	antaphroditique
de bon aloi	de mauvais aloi
matriarcat	patriarcat
scripturalité	oralité
Noël blanc	Noël noir
vue plongeante	contre-plongée
contre-plongée	vue plongeante
contreplongée	vue plongeante
verbe actif	verbe passif
verbe passif	verbe actif
verbe faible	verbe fort
verbe faible	verbe irrégulier
verbe faible	verbe mixte
verbe fort	verbe faible
verbe fort	verbe mixte
verbe fort	verbe régulier
verbe irrégulier	verbe faible
verbe irrégulier	verbe mixte
verbe irrégulier	verbe régulier
verbe mixte	verbe faible
verbe mixte	verbe fort
verbe mixte	verbe irrégulier
verbe mixte	verbe régulier
verbe régulier	verbe fort
verbe régulier	verbe irrégulier
verbe régulier	verbe mixte
onde stationnaire	onde progressive
onde progressive	onde stationnaire
fillâtre	marâtre
fillâtre	parâtre
filsâtre	parâtre
recalotter	décalotter
décalottage	recalottage
recalottage	décalottage
désencombrement	encombrement
décommunautariser	décentraliser
décommunautariser	communautariser
décommunautariser	centraliser
décommunautariser	communautariser
décalottement	recalottement
demi-fille	demi-garçon
demi-garçon	demi-fille
extrême droite	extrême gauche
extrême gauche	extrême droite
Noël noir	Noël blanc
digeo	apéro
