# lang=fr
gratis	free, without charge
gratis	free; for free, without charge
gratuit	free of charge
gratuit	gratuitous, for no reason
livre	pound
book	portfolio
book	bookmaker
chien	cock, hammer (of a firearm)
chien	greedy, stingy
pie	magpie
connotation	connotation
minute	minute (etymology 1, time unit, all same senses)
minute	wait a sec!
adjectival	adjectival
patronage	Patronage
deal	a : a transaction
deal	a : an agreement
deal	local, small scale drug trafficking
fa	fa, the fourth diatonic (or sixth chromatic) note 'F'
fable	, story
a-	, non-, -less
abaca	a banana tree, the
abaca	Manilla hemp
abalone	the abalone
abandon	surrender; desertion; withdrawal
abandon	abandonment, abandoning
abandon	state of neglect
abattoir	abattoir, slaughterhouse
abbatial	the quarters of the abbot and monks within an abbey
abdominal	; of the abdomen
abduction	abductive movement; abduction
abduction	abductive reasoning; abduction
aberrance	character of what is aberrant
aberrance	an aberration or anomaly
aberrant	aberrant, abnormal or anomalous
aberrant	which is impossible according to the norms or rules
aberration	the state of being aberrant
aberration	aberration
abhorrer	to abominate, to abhor, to loathe
abject	Worthy of utmost contempt or disgust; vile; despicable
abject	of the lowest social position
abjection	something that is worthy of utter contempt
abjuration	the action of
abjurer	to renounce or abandon solemnly; to abjure
abjurer	to formally renounce one's religious belief; to apostatise
abjurer	to reject by oath someone's authority
ablactation	Interruption in secretion of breast milk, usually caused by a hormonal imbalance
ablactation	the weaning of a child
ablation	the often forceful removal (physical or otherwise) or abolition of something
able	the common bleak (usually called )
able	the sunbleak or moderlieschen, also called
able	any of some other related fishes in the genus ()
ablution	Ritual rinsing of the priest's hand
ablution	a washing, especially ritual
abominable	absolutely loathsome
abominable	Exceedingly bad or ugly
abomination	something vile and abominable; an
abomination	revulsion, , disgust
abord	the manner with which one acts in the presence of another person or persons, especially in a first encounter
abord	the surroundings of a place
abord	arrival or accessibility by water
about	the extremity of a metallic or wooden element or piece
abracadabra	abracadabra
abracadabra	an unspecified magical formula
abracadabra	a mystical word from kabbalism
abraxas	abraxas
abreuvoir	a watering hole or place for animals
abreuvoir	a drinking fountain
abrogation	abrogation; repeal
abrupt	Extremely steep, near vertical
abrupt	curt and abrupt
abrupt	Done or said forwardly and without caution to avoid shocking
on	one, people, you, someone
absconder	to set
nu	naked; nude; bare
été	summer
y	a letter in the French alphabet, after x and before z
y	there (at a place)
y	there, thither (to there)
absent	absent-minded
absent	absentee; missing person
absenter	to leave; to absent oneself
absolution	(from sins or wrongs)
absolution	acquittal, absolution
absorber	to absorb
abstinent	, teetotal
abstinent	, teetotaler / teetotaller
abuser	to mislead
abuser	to take advantage
abuser	to abuse (use improperly)
acajou	cashew tree; also, its fruit
acajou	mahogany tree; also, its timber
acceptant	acceptant
acceptation	acceptance
acceptation	approval
accepter	to accept
acception	meaning, sense (of a word), acceptation
accessible	, attainable, obtainable, available
accessible	affordable
accessible	approachable
acclimatation	acclimatization
accolade	curly bracket (brace)
accolade	(knights)
accolade	embrace
accorder	to grant (something to someone)
accorder	to link to, to be related to
accorder	to agree on a fact
accostable	approachable (of a person)
accostable	dockable (at which you can land a boat)
accoucheur	midwife (male)
accoucheur	obstetrician
plural	plural, large
avatar	avatar
avatar	misadventures, incidents
libre	free, at liberty
libre	clear, free, vacant
libre	free, without obligation
jeudi	Thursday (day of the week)
van	a winnowing basket
van	a horse trailer
te	yourself
orange	orange
accord	chord
accord	agreement
accord	permission, consent
o	octet
parole	speech, language
parole	word(s) utterance, expression
parole	voice, spoken word
FAQ	(foire aux questions)
PM	market price
four	stove
CIA	(Central Intelligence Agency)
KGB	(the former Soviet State Security Committee)
second	assistant, first mate
pseudo	a nickname, handle or pseudonym
FAC	(a landmark paper by )
livrer	to deliver (a package, merchandise etc.)
livrer	to hand over, deliver (someone to an enemy, police, etc.)
livrer	to betray
CE	works council
point	(small mark)
point	full stop, period
are	an are
mandat	mandate
mandat	postal order, money order
mandat	power of attorney, proxy
représentant	representative
observateur	observant
observateur	observer
doctrine	doctrine
port	port, harbour
port	port, harbour city
port	refuge
os	snag, hitch
occultation	erasure, concealment
RTFM	(look at your fucking manual)
bot	affected by the deformation known as clubfoot
bot	affected by a similar-looking deformation
billion	trillion
trillion	quintillion
brassière	child's vest
brassière	life jacket
brassière	brassiere, bra
stock	, goods in supply
stock	stock, a reserve
stock	Supply of (wild) fish available for commerce, stock
secret	secret
secret	secrecy
jour	daylight, light
jour	opening, aperture
langue	tongue
langue	language
country	country music
viable	viable
viable	viable, feasible
inflation	inflation
fiscal	, financial
open	; tournament
slow	waltz
meeting	large, public gathering
global	, spherical; (hence) concerning the whole world
global	as a whole, on the whole; total
globalisation	globalisation
mobile	moving
mobile	movable
SMS	, text, text message
GSM	a mobile phone
digital	fingers, toes
radio	, tuner
colon	colonist, colonizer, colonial settler
colon	camper
colon	sharecropper in the system of colonat partiaire
mars	March
mi	mi, the note 'E'
translation	thunking
ami	friend
indice	clue, hint, indication
indice	index
