# lang=he
ים	קֶדֶם
ים	מִזְרָח
ז	נ
נ	ז
רע	טוב
טוב	רע
מערב	קֶדֶם
עץ	פָּלִי
ראשית	אֲחַרִית
על	תת־
זכר	נקבה
נקבה	זָכָר
הן	לַאו
יצא	נִכְנַס
יצא	בָּא
אין	הָיָה
אין	יֵשׁ
אין	הָיָה
אין	יֵשׁ
אין	הָיָה
קדם	יָם
קדם	מערב
זריחה	שקיעה
שקיעה	זריחה
חד	רַב
איל	רָחֵל
זכרי	נִקְבִּי
נקבי	זִכְרִי
עלייה	יְרִידָה
עלייה	חֶדֶר
שם	כאן
שמן	רָזֶה
דחף	tr=mashákh
משך	דָּחַף
יש	אֵין
נפיל	גַּמָּד
נכנס	יָצָא
פחדן	אַמִּיץ
יותר	פָּחוֹת
ירד	עלה
ירד	עלה
ירד	aliyah
ירד	עלה
יצר הרע	יֵצֶר הַטּוֹב
קל	כָּבֵד
קל	קָשֶׁה
מר	מתוק
לאן	מֵאַיִן
לאן	מִנַּיִן
לאן	מֵאֵיפֹה
קר	hot
קר	חַם
חם	קַר
בא	קוֹדֵם
פחות	יותר
בגלל	למרות
זיכרונו לברכה	יִמַּח שְׁמוֹ
זיכרונו לברכה	yimakh shemo
לפני	behind
לפני	after
לפני	אחרי
לפני	מאחורי
לפני	behind
למעלה	לְמַטָּה
חלק	גַּס
קרוב	רָחוֹק
מרב	מִצְעָר
מרב	מִזְעָר
חול	קודש
יורה	מַלְקוֹשׁ
רבים	יָחִיד
רך	קָשֶׁה
קשה	רך
קשה	קל
התחבר	התנתק
הטרוסקסואלי	הוֹמוֹסֶקְסוּאָלִי
הומוסקסואלי	הֵטֵרוֹסֶקְסוּאָלִי
הטרוסקסואליות	הומוסקסואליות
הטרוסקסואליות	הומואיות
הומוסקסואליות	הטרוסקסואליות
הומוסקסואליות	סטרייטיות
שלילי	חִיּוּבִי
הומואיות	הטרוסקסואליות
הומואיות	סטרייטיות
סגר	פָּתַח
חדש	ישן
חדש	ישן
קנה	מָכַר
גברי	נשי
גברי	נקבי
חרש	שָׁמַע
י־ב־ש	ר־ט־ב
ייבש	הִרְטִיב
ר־ט־ב	י־ב־שׁ
דמוקרטיה	dictatorship
דמוקרטיה	totalitarianism
לשעבר	נוכחי
צר	רָחָב
פעיל	סָבִיל
רוטב	יְבֵשָׁה
דו־פסיגי	חַד-פְּסִיגִי
רחב	צר
הקלה	הכבדה
הקלה	עומס
מטה	מַעְלָה
ארוך	קָצָר
מלעיל	מִלְּרַע
סגור	פָּתוּחַ
עדיין	כבר
מעלה	מַטָּה
בעד	נֶגֶד
נקי	מלוכלך
חיובי	שְׁלִילִי
מניין	לְאָן
יציאה	כְּנִיסָה
כניסה	יְצִיאָה
בכור	בֶּן זְקוּנִים
שידרוג	downgrade
שינמוך	upgrade
מלוכלך	נָקִי
מכר	קָנָה
הפיך	בִּלְתִּי הָפִיךְ
בדיעבד	מֵרֹאשׁ
בדיעבד	מִלְּכַתְּחִלָּה
בדיעבד	לְכַתְּחִלָּה
מאין	לְאָן
מלרע	מִלְּעֵיל
שקול	שונה
האם	הֲלֹא
שמאלי	יְמָנִי
חיסרון	יִתְרוֹן
זוטר	גָּדוֹל
זוטר	בָּכִיר
יצר הטוב	יֵצֶר הָרַע
יחיד	רַבִּים
הלא	הַאִם
כתיב חסר	כתיב מלא
כתיב מלא	כְּתִיב חָסֵר
תחתון	עֶלְיוֹן
קטין	בָּגִיר
למטה	לְמַעְלָה
החוצה	הַבַּיְתָה
החוצה	פְּנִימָה
ביי	היי
קטינה	בְּגִירָה
שמאלני	יְמָנִי
קטגור	סָנֵגוֹר
ימני	שְׂמָאלִי
ימני	שְׂמֹאלָנִי
חילול השם	קידוש השם
תלותי	עַצְמָאִי
לפ״ק	לפ״ג
אחורה	קָדִימָה

קפאון	נמיסה (1)
קפאון	המסה (1)
קפאון	היתוך (1)
קפאון	הפשרה (1,3,4)
קפאון	תנועתיות (3)
קפאון	צמיחה (4)
מלעיל	מלרע
מלרע	מלעיל
שבת	המשיך
שבת	התמיד
מהפך	סיבוב (מול הרוח) (3 ב')
מהפך	מפקם (3 ב')
שואה	תקומה
רחב יד	קמצנות
יד הגורל	אקראי
יד הגורל	מקריות
יד הגורל	בחירה
אאל"ט	ללא ספק
שר"י	ז"ל
שר"י	זצ"ל
שר"י	הי"ד
רש"י	רש"מ
ישר	עקום (1)
ישר	בוגד (2)
ישר	נוכל (2)
ישר	רמאי (2)
מתאבן	קנוח
קשור	פירוד
קשור	ניתוק
נתוק	חיבור (1,2)
נתוק	קישור (1)
נתוק	קשר (2)
נתוק	שרשור (1)
חל	קודש
אל תסתכל בקנקן אלא במה שיש בו	הבגד עושה את האדם
פרסוניפיקציה	החפצה
האנשה	החפצה
בגדול	בקטן
בגדול	בקטנה
בענק	בקטן
בענק	בקטנה
בענק	בגמד
בקטן	בגדול
בקטן	בענק
