# lang=he
חתול	שונרא
ידיד	חָבֵר
רב	ירה
ירושלים	עיר הקודש
תאילנדית	תאית
פועל	עוֹבֵד
אם	אִמָּא
תודה	חֵן חֵן
ים	מַעֲרָב
ארבה	דוברה
גמד	נַנָּס
תנועה	נִיד
תנועה	תְּזוּזָה
תנועה	מָנוֹד
קרע	הֵבִיס
קרע	הִתִּישׁ
קרע	הִצְחִיק
טניס שולחן	פִּינְג פּוֹנְג
פינג פונג	טֶנִיס שׁוּלְחָן
מרפא פלא	סַם פֶּלֶא
סם פלא	מַרְפֵּא פֶּלֶא
סימן מולד	כתם לידה
עתיד	עוֹמֵד
ש	הס
רע	עָמִית
רע	חָבֵר
רע	יָדִיד
רע	זוּלָת
רע	אַחֵר
דרום	נֶגֶב
דרום	תֵּימָן
דרום	יָמִין
מערב	יָם
מהר	במהירות
מהר	חִישׁ
מלון	בֵּית מָלוֹן
אבה	נָאוֹת
אבוקה	לַפִּיד
ראשית	קודם כל
לילה	לַיִל
עשב	יָרָק
עשב	דֶּשֶׁא
רבה	רבנית
אץ	נֶחְפַּז
שושנה	שׁוֹשָׁן
שושנה	וֶרֶד
שמע	שְׁמַע יִשְׂרָאֵל
יאשיהו	יֹאשִׁיָּה
דגל	נֵס
אחר	אחרי
אשה	אֵשֶׁת אִישׁ
חבר	יָדִיד
רכב	כְּלִי רֶכֶב
נגב	דָּרוֹם
נגב	תֵּימָן
נגב	יָמִין
שיח	שִׂיחָה
מטר	גֶּשֶׁם
אין	לֹא
אדם	אִישׁ
יצר	instinct
יצר	urge
יצר	drive
עפר	אָבָק
אדמה	אֶרֶץ
אדמה	קַרְקַע
קדם	מזרח
אבן	אֶבֶן יְקָרָה
פן	שֶׁמָּא
עם	people
עם	nation
עם	nation
עם	גּוֹי
עם	Israel
להט	דָּלַק
חרב	סַיִף
גבר	תַּרְנְגוֹל
איש	בַּעַל
איש	גֶּבֶר
בעל	אִישׁ
תפוח	תַּפּוּחַ עֵץ
יום רביעי	ד׳
יום רביעי	רְבִיעִי
קלרינט	tr=klarnít
מתורגמן	מְתַרְגֵּם
תורגמן	מְתַרְגֵּם
המצאה	אינוונציה
פרויקט	מֵיזָם
עמוס	צָפוּף
ישעיהו	שייקה
ישעיהו	שיה
ישעיהו	שי
איכה	מגילת איכה
איכה	ספר קינות
מאי	מאה
תנין	תִּמְסָח
כוכב לכת	tr=planéta
טלפון	טל׳
שמונה עשרה	עֲמִידָה
בית ספר	בֶּצֶפֶר
בית ספר	בי״ס
דרגנוע	מַדְרֵגוֹת נָעוֹת
מחברת	דִּפְתָּר
מחברת	פִּנְקָס
כיסופים	גַּעְגּוּעַ
כיסופים	כְּמִיהָה
גברתן	סוס
חנוכה	חַג הָאוּרִים
רגע	דקה
תנ״ך	מִקְרָא
תנ״ך	סֵפֶר הַסְּפָרִים
אקורד	תַּצְלִיל
חשב	רוֹאֵה חֶשְׁבּוֹן
די	מספיק
גו	טוֹרְסוֹ
שת	שָׂם
חד	שָׁנוּן
אמא	אֵם
איך	כֵּיצַד
עד	נֶצַח
צמצם	הפחית
דיותא	דְּיוֹ
מרבד	שָׁטִיחַ
פנס	מְנוֹרָה
סבא	סב
סבתא	סָבָה
דשא	יָרָק
דשא	עֵשֶׂב
דשא	חָצֵר
למה	למה זה
למה	מדוע
מדוע	למה
מדוע	למה זה
כיצד	אֵיךְ
