# lang=it
male	bene
finale	inizio
finale	principio
simile	dissimile
simile	diverso
simile	differente
base	sommità
base	altezza
accreditare	addebitare
forte	debole
infertile	fertile
famoso	sconosciuto
famoso	ignoto
mezzogiorno	mezzanotte
massimo	minimo
nonno	nonna
ordinario	insolito
ordinario	straordinario
materia	antimateria
passato	moderno
passato	futuro
fortissimo	pianissimo
grave	acuto
fresco	caldo
piccolo	grande
piccolo	grosso
immobile	mobile
accelerare	decelerare
salita	discesa
uscire	entrare
virtù	vizio
accendere	spegnere
godere	soffrire
degno	indegno
volgere	svolgere
inutile	utile
irregolare	regolare
preterito	futuro
peggio	migliore
notturno	diurno
certo	incerto
scendere	salire
illuminare	oscurare
falso	autentico
falso	vero
ricco	povero
unire	dividere
unire	separare
unire	staccare
difesa	accusa
difesa	danno
difesa	offesa
empio	pio
duro	molle
duro	morbido
duro	moscio
duro	flaccido
idoneo	inidoneo
chiaro	scuro
chiaro	torbido
accostare	scostare
vecchio	nuovo
vecchio	giovane
vecchio	recente
adattabile	inadattabile
sotto	sopra
naturale	innaturale
naturale	artificiale
naturale	frizzante
naturale	effervescente
necessario	superfluo
difeso	indifeso
cortese	scortese
coperto	scoperto
armare	disarmare
aumentare	diminuire
aumentare	ridurre
preciso	impreciso
coscienza	incoscienza
terminare	iniziare
giovane	vecchio
patriarcato	matriarcato
fertilità	infertilità
sterilità	fertilità
speciale	comune
speciale	ordinario
indipendente	dipendente
maschio	femmina
maschile	femminile
meridione	settentrione
digeribile	indigeribile
digeribile	indigesto
indigesto	digeribile
indigesto	leggero
attività	passività
attività	inattività
attivo	inattivo
attivo	passivo
attivo	sedentario
passivo	attivo
passività	attività
materiale	immateriale
inferiore	superiore
efficace	inefficace
decente	indecente
occupazione	disoccupazione
mortale	immortale
precedente	seguente
precedente	successivo
costante	incostante
innocente	colpevole
innocente	nocente
velocità	lentezza
arrivi	partenze
partenze	arrivi
haram	halal
interno	esterno
eccezionale	banale
eccezionale	comune
eccezionale	ordinario
possibile	impossibile
possibilità	impossibilità
infinito	finito
infinito	limitato
nobile	ignobile
ognuno	alcuno
ognuno	nessuno
ospite	anfitrione
disfattismo	entusiasmo
disfattismo	ottimismo
disfattismo	fiducia
morbido	duro
definito	indefinito
giustizia	ingiustizia
vitale	mortale
vitale	morto
banale	nuovo
banale	straordinario
banale	importante
banale	eccezionale
banale	interessante
sensibile	insensibile
ponente	levante
migliore	peggiore
escludere	includere
meglio	peggio
riconoscere	disconoscere
incerto	certo
sposata	nubile
sposata	zitella
sicurezza	insicurezza
minimo	massimo
disordine	ordine
disponibile	indisponibile
disponibilità	indisponibilità
alzare	abbassare
alzarsi	abbassarsi
avvicinare	allontanare
collegare	scollegare
collegato	scollegato
collegato	disconnesso
connettersi	disconnettersi
giù	su
guarire	ammalarsi
fascista	antifascista
gradito	malgradito
gradito	sgradito
visibile	invisibile
tristezza	felicità
tristezza	allegria
popolare	impopolare
individuale	di gruppo
individuale	collettivo
interiore	esteriore
senza fine	finito
inadatto	adatto
prevedibile	imprevedibile
inaccessibile	accessibile
accessibile	inaccessibile
inaccettabile	accettabile
inadeguato	adeguato
adeguato	inadeguato
inammissibile	ammissibile
ammissibile	inammissibile
inconcepibile	concepibile
inconcepibile	immaginabile
inconcludente	concludente
conclusivo	d'inizio
conclusivo	d'apertura
inconsapevole	consapevole
inconsistente	consistente
consistente	inconsistente
invalido	valido
incontrollabile	controllabile
incontrollato	controllato
controllato	incontrollato
incosciente	coscienzioso
incosciente	cosciente
cosciente	incosciente
incoscienza	coscienza
riduzione	aumento
ribasso	crescita
ribasso	risalita
ribasso	aumento
indecente	decente
indecifrabile	decifrabile
indegno	degno
determinato	indeterminato
povertà	ricchezza
ineguale	eguale
ingiustizia	giustizia
innalzamento	abbassamento
innalzamento	riduzione
innocenza	colpevolezza
innocenza	reità
innocenza	responsabilità
innocenza	furbizia
innocenza	malizia
innocenza	scaltrezza
inopportuno	opportuno
inosservato	osservato
insanabile	sanabile
insicurezza	sicurezza
insoddisfatto	soddisfatto
insopportabile	sopportabile
insospettabile	sospettabile
insostenibile	sostenibile
instabile	stabile
insuperabile	superabile
interessato	disinteressato
intollerabile	tollerabile
invariabile	variabile
inverosimile	verosimile
iper-	ipo-
irraggiungibile	raggiungibile
irricevibile	ricevibile
irriducibile	riducibile
irrinunciabile	rinunciabile
irripetibile	ripetibile
immaturo	maturo
immersione	emersione
emigrazione	immigrazione
immutabile	mutabile
imperfezione	perfezione
impermeabile	permeabile
impervio	pervio
impotente	potente
impoverire	arricchire
impraticabile	praticabile
imprendibile	prendibile
impreparato	preparato
impreparazione	preparazione
improprio	proprio
inattaccabile	attaccabile
scaricare	caricare
sonoro	sordo
stappare	tappare
credente	scredente
credibile	incredibile
sottotitolo	soprattitolo
svolgere	volgere
disinformato	informato
invivibile	vivibile
incorruttibile	corruttibile
inalterabile	alterabile
alterabile	inalterabile
artigianale	industriale
discontinuo	continuo
sostenibile	insostenibile
sostenibilità	insostenibilità
laburista	conservatore
legittimo	illegittimo
disattivare	attivare
gustoso	disgustoso
oggettivo	soggettivo
oggettivamente	soggettivamente
incoraggiare	scoraggiare
disarmato	armato
disarmare	armare
sconoscere	conoscere
addebitare	accreditare
sconsigliare	consigliare
sgradevole	gradevole
reperibile	irreperibile
inscrivere	circoscrivere
sufficienza	insufficienza
malfare	benefare
costanza	incostanza
permanenza	impermanenza
univoco	equivoco
flessibile	inflessibile
raggiungibile	irraggiungibile
licenziare	nominare
sfortunato	fortunato
stamberga	villa
stamberga	magione
stamberga	reggia
stamberga	palazzo
contaminazione	decontaminazione
infausto	fausto
irremovibile	removibile
lecito	illecito
riferibile	irriferibile
miopia	ipermetropia
abbottonare	sbottonare
estetico	antiestetico
srotolare	arrotolare
equivoco	univoco
piacevolezza	spiacevolezza
indistintamente	distintamente
apparecchiare	sparecchiare
riccamente	poveramente
riccamente	scarsamente
disattenzione	attenzione
sostituibile	insostituibile
emissario	immissario
immobilizzare	mobilitare
ipogeo	epigeo
trasferibile	intrasferibile
disinibito	inibito
deducibile	indeducibile
irrisolvibile	risolvibile
rivendere	ricomprare
richiudere	riaprire
anfitrione	ospite
governabile	ingovernabile
calcolabile	incalcolabile
insolvibile	solvibile
recuperabile	irrecuperabile
bassissimo	altissimo
bassezza	altezza
sequestrabile	insequestrabile
abilitare	disabilitare
ricevibile	irricevibile
presentabile	impresentabile
continenza	incontinenza
deidratare	idratare
freddissimo	caldissimo
confacente	sconfacente
disunione	unione
effervescente	naturale
insindacabile	sindacabile
eseguibile	ineseguibile
incorreggibile	correggibile
incolmabile	colmabile
irriferibile	riferibile
parzialità	imparzialità
sfavore	favore
sconnessione	connessione
sbottonare	abbottonare
schiodare	inchiodare
coercibile	incoercibile
sgradevolezza	gradevolezza
sindacabile	insindacabile
inesattezza	esattezza
inintelligibile	intelligibile
giudizioso	scriteriato
giudizioso	sventato
giudizioso	irriflessivo
giudizioso	dissennato
giudizioso	incauto
giudizioso	sconsiderato
giudizioso	imprudente
giudizioso	malaccorto
giudizioso	scriteriato
giudizioso	dissennato
giudizioso	insensato
giudizioso	incauto
giudizioso	malavveduto
giudizioso	sconsiderato
giudizioso	imprudente
giudizioso	malaccorto
giudizioso	avventato
sanabile	insanabile
innumerabile	numerabile
numerabile	innumerabile
imponderabile	ponderabile
impronunciabile	pronunciabile
intubare	estubare
indeformabile	deformabile
insperabile	sperabile
irrespirabile	respirabile
agibile	inagibile
percettibile	impercettibile
incedibile	cedibile
umanizzare	disumanizzare
percorribile	impercorribile
praticabile	impraticabile
incardinare	scardinare
violabile	inviolabile
risolvibile	irrisolvibile
dilazionabile	indilazionabile
sospettabile	insospettabile
levogiro	destrogiro
inestensibile	estensibile
attaccabile	inattaccabile
trattabile	intrattabile
opimo	magro
opimo	scarno
opimo	povero
opimo	sterile
opimo	infecondo
opimo	improduttivo
opimo	arido
opimo	povero
opimo	magro
anadromo	catadromo
catadromo	anadromo
decidibile	indecidibile
intrasferibile	trasferibile
antieuropeista	europeista
appagabile	inappagabile
sostituibilità	insostituibilità
prendibile	imprendibile
coercibilità	incoercibilità
incoercibile	coercibile
incoercibilità	coercibilità
estinguibile	inestinguibile
immarcescibile	marcescibile
inesigibile	esigibile
irricevibilità	ricevibilità
saldabile	insaldabile
incomprendibile	comprendibile
recuperabilità	irrecuperabilità
pareggiabile	impareggiabile
inutilizzare	utilizzare
sindacabilità	insindacabilità
compensabile	incompensabile
comprabile	vendibile
violabilità	inviolabilità
riformabile	irriformabile
procacità	pudore
procacità	modestia
procacità	umiltà
procacità	pudicizia
procacità	castità
procacia	pudore
procacia	modestia
procacia	umiltà
procacia	pudicizia
procacia	castità
procacemente	umilmente
procacemente	modestamente
procacemente	pudicamente
procacemente	castamente
insequestrabile	sequestrabile
frequentabile	infrequentabile
inessiccabile	essiccabile
ingiustificatamente	giustificatamente
inedificabile	edificabile
indeprecabile	deprecabile
insequestrabilità	sequestrabilità
indelimitabile	delimitabile
delimitabile	indelimitabile
incontrastabile	contrastabile
inapprezzabile	apprezzabile
illacrimabile	lacrimabile
ingiudicato	giudicato
umanizzazione	disumanizzazione
inameno	ameno
a breve termine	long-term
volare alto	volare basso
