# lang=it
indice	dito indice
indice	tasso
indice	indizio
indice	lancetta
stand	padiglione
regime	dieta
simile	similare
piano	progetto
piano	proposito
vole	vuole
empire	riempire
AI	IA
AI	intelligenza artificiale
testa	capo
province	provincie
forte	robusto
festival	mostra
festival	rassegna
apollo	adone
apollo	apolline
curriculum	curricolo
vinco	vimine
vinco	salice da vimini
vinco	salice
lady	signora
lady	donna
lady	dama
sorcio	ratto
sorcio	topo
ratto	sorcio
ratto	topo
trio	terzetto
trio	tripletta
trio	triade
zio	barba
famoso	popolare
famoso	conosciuto
famoso	celebre
famoso	noto
libreria	libraio
nessuno	nullo
nessuno	veruno
nessuno	chicchessia
ordinario	normale
numero	quadro
hotel	albergo
ubriaco	ebbro
novella	fiaba
novella	racconto
pagare	offrire
pagare	sborsare
pagare	versare
pagare	mettere mano al portafoglio
acuto	aguzzo
acuto	appuntito
bellissimo	stupendo
bellissimo	magnifico
bellissimo	molto bello
sanguisuga	mignatta
puttana	vacca
puttana	scrofa
puttana	cagna
puttana	troia
puttana	baldracca
puttana	mignotta
puttana	smanfaraccia
puttana	barlenga
puttana	zoccola
puttana	disonesta
puttana	sgualdrina
puttana	squillo
puttana	vigliacca
puttana	meretrice
puttana	cortigiana
puttana	bagascia
puttana	battere
puttana	battona
puttana	sciacquetta
puttana	prostituta
puttana	escort
performance	esecuzione
performance	prestazione
performance	rendimento
performance	esibizione
maestro	insegnante
maestro	docente
maestro	precettore
maestro	professore
maestro	aio
maestro	educatore
vaffanculo	vai a farti fottere
vaffanculo	fottiti
vaffanculo	vai a quel paese!
vaffanculo	fambagno!
vaffanculo	va' a fa' 'n bagno!
vaffanculo	vaffambagno!
vaffanculo	vai al diavolo!
vaffanculo	vai a vendere il culo!
vaffanculo	fatti dare nel culo!
vaffanculo	che ti possano inculare!
vaffanculo	vai a dare via il culo!
vaffanculo	vattela a pigliare in culo!
vaffanculo	vattâ pijà nder culo
maggio	maggiore
tra	fra
fra	tra
grave	importante
grave	pesante
grave	austero
grave	serio
bolso	spossato
bolso	fiacco
bolso	stanco
bolso	debole
catena	ordito
lei	essa
spada	brando
spada	daga
spada	sciabola
spada	spadino
spada	fioretto
dò	do
confine	limite
gala	frangia
gala	guarnitura
gala	frappa
gala	balza
gala	volant
lavabo	lavandino
piccolo	piccino
sia	sia ... [[che]] ...
sia	che
pianta	albero
pianta	piantina
pianta	carta
diabolico	infernale
diabolico	demoniaco
scelta	elezione
scelta	preferenza
scelta	selezione
persona	gente
zerbino	stoino
zerbino	nettapiedi
accelerare	velocità
accelerare	velocizzare
accelerare	la
accelerare	aumentare
puerile	infantile
accidenti	accipicchia
accidenti	perbacco
affitto	affittanza
affitto	noleggio
tessera	tassello
ardere	bruciare
mutare	cambiare
Stregatto	gatto del Cheshire
animale	bestia
licantropo	lupo mannaro
piazza	mercato
piazza	chierica
rumore	trambusto
rumore	clamore
rumore	confusione
rumore	baccano
rumore	fragore
trovare	scorgere
trovare	incontrare
trovare	ottenere
trovare	avere
trovare	riconoscere
godere	gioire
goccia	stilla
miracolo	portento
istante	baleno
istante	lampo
istante	attimo
toi	togli
preterito	passato
peggio	peggiore
metà	mezzo
cheesecake	torta al formaggio
cheesecake	dolce al formaggio
sola	unica
ci sono	vi sono
marea	moltitudine
marea	orda
urogallo	tetraone
urogallo	gallo cedrone
resto	avanzo
resto	residuo
falso	finto
hot dog	würstel
perse	perdé
perse	perdette
aperse	aprì
unire	congiungere
unire	collegare
unire	giuntare
compaio	comparisco
comparisco	compaio
aprii	apersi
apersi	aprii
aprì	aperse
significare	volere dire
offerse	offrì
appaio	apparisco
rimanere	restare
rimanere	trovarsi
sape	sa
