# lang=ja
大きい	,
明日	, ,
引力	: repulsive force
覚える	: to forget
閉める	, : to open
来る	: go
○	: incorrect, bad
借	: lending, a credit, a loan
床	: ceiling
表	: back, bottom (of an inning, in baseball)
邪	, (righteous)
雄	: woman, female
いいえ	,
仮名	: actual name; : real name
静か	,
ない	,
×	,
鼻音	: oral sound
乗法	;
天才	: mediocrity, (person of) ordinary ability
天才	: idiot
うん	: nope, nah, nuh-uh
速い	: slow
時々	: (with negative verbs) not very often; not much
解答	: problem, question
買う	: to sell
直線	: curve
直訳	: free translation, liberal translation
アマチュア	,
一緒	: separated
よく	: (with negative verbs) not at all; completely never
ばつ	,
開ける	, : to close, to shut
特殊	: ordinary, common
特殊	: ordinary, common
特殊	: ordinary, common
暑い	: cold
陽気	: melancholy
七つの大罪	: the seven virtues
進化	: degeneration
入口	: exit
頂点	(especially of solids)
頂点	(especially of planes)
西暦	, : the Japanese calendar
平静	(disturbing)
女人	: male, man
女人	: boy, boys and men
豪華	: feeble, poor
男尊女卑	: female chauvinism
地獄	: heaven
地獄	: heaven
地獄	: the pure land
先々週	: the week after next
登場	: leaving, exit
非人道的	: humane
仲間	, ,
問題	: solution
男性	: woman
男性	: female
女性	: man
女性	: man
女性	: male; man
重要	: trifling, minor, trivial
重要	: slight, minor, light
丈夫	, ,
親切	: envy
主婦	: house husband, stay-at-home dad
最後	: first
乙姫	: (obsolete) elder princess
和服	: Western clothes
開店	(antonym of both senses):
涼しい	: warm (of the weather)
便宜	, , (inconvenience)
水生	: terrestrial (life)
水平線	: a plumb line
大声	: soft voice
対語	: synonym
対語	: synonym
可能	, : impossible
可能	: inevitable
大刀	/
便利	, , (inconvenient)
大宇宙	: microcosm
父親	: mother
切る	,
有名	: namelessness; lack of fame
難しい	, ,
複数形	: singular form
単数形	: plural form
偶然	必ず (inevitably)
南極	: North Pole
回答	: question
男言葉	: female language
簡体字	: traditional chinese characters
簡体字	: traditional chinese characters
農村	: urban area
無意味	: meaningful
携帯電話	(fixed phone, landline)
七つの美徳	: the seven deadly sins
定冠詞	: indefinite article
不定冠詞	: definite article
陸生	: aquatic (life)
悲観主義者	,
楽観主義者	,
北極	: south polar region, South Pole, the Antarctic
母親	: father
義兄	,
消す	, ,
微分	: integration
穏健派	(bellicist; one who prefers violence)
穏健派	(extremist)
実在論	: nominalism
実在論	: idealism
憎い	: desirable, favorable, welcome
寒い	: hot (of the weather)
認める	,
認める	,
レガート	: staccato
灯す	: to extinguish; to turn off
晴天	: cloudy skies
悪循環	: a virtuous cycle, a virtuous circle
無限	: limited, finite
無罪	: guilty
必然	, ,
必然	,
外語	,
外語	,
散文詩	: rhyming poetry
温める	: to cool
温める	: to cool
好む	, : to hate
増加	: reduction, decrement, reducing
曲線	: straight line
ううん	: yeah, uh-huh, mhm
公道	: private road
暗示	: explication, demonstration, manifestation
公立	: private
過小評価	: overestimation
成立	,
小声	: loud voice
放棄	,
放棄	; ,
定数	: variable
統合	: division
確実	,
確実	, ,
平凡	: extraordinary
平凡	: great
過大評価	: underestimation
人道的	: inhumane
温まる	: (v.intr.) get cool, get chilly
入場	: exit
先祖	: descendant, scion
祖先	: descendant, scion
国内	: outside of the country, overseas
国外	: inside the country, domestic
明示	: hint, implication, intimation, suggestion
虚偽	: the truth
聖火	: hellfire
乾季	: rainy season
乾季	: East Asian rainy season
勝者	: loser
勝者	: loser
暴食	: temperance
不可能	, ,
不可能	, ,
順守	違反 (violation)
順法	違法 (illegality)
人証	: material evidence
物証	: personal evidence
海産	: land product
継続	, : termination
入船	: the departure from port or harbor of a boat or ship; a boat or ship departing port or harbor
入団	: leaving
絶対	（en: conditional）
絶対	, （en: relative）
名高い	: infamous
賤人	, (superior, noble)
滅亡	,
弱さ	: strength
休日	,
英和	: Japanese–English
新郎	: bride
生地	: deathplace; place to die
生地	: deathplace; place where one died
再来週	: the week before last
解放	: restraint
解放	: limit
傑出	平凡
傑出	凡庸
貧弱	: rich, abundant
貧弱	: magnificent, luxurious
従う	(violate)
従う	, (defy, rebel)
従う	(dominate, rule)
開校	,
貧賤	: wealthy and noble
有害	: harmless
解散	: foundation
演繹	: induction
帰納	: deduction
分離	, ,
