# lang=ja
痛い	painful
痛い	cringy; embarrassing
痛い	wonderful, pleasant
重い	heavy
重い	sluggish; slow
重い	congested; having poor performance
易しい	plain, simple
大きい	broad, immense
大きい	important; crucial
長い	long, lengthy
高い	high, tall
高い	superior
高い	expensive
汚い	dirty
汚い	untidy, messy
汚い	mean, unfair
明るい	bright, light, luminous
明るい	cheerful, merry
楽しい	pleasant, delightful, fun, enjoyable
犬	a dog
犬	the dog radical ()
犬	dog, canine
馬	horse
馬	a horse
馬	a promoted bishop
国	a land, a large place
国	a country in general, a region
国	a country as in a nation, a state
数	number; amount
数	number
西	Europe, European
西	kanji used to transliterate foreign languages
車	vehicle
車	vehicle
犭	left "dog" radical (けものへん)
酉	"sake" radical (さけづぐり)
酉	"bird of the zodiac" radical (ひよみのとり, とりへん)
酉	rooster (tenth sign of the Chinese zodiac)
ASCII	ASCII
FBI	; the
UFO	; a UFO
FIFA	; FIFA
ID	identification
ID	identifier
DNA	; DNA
月	the Moon
月	a natural satellite
月	moonlight, moonbeam
MT	manual transmission
PA	PA system; public address system
PR	promotion
SE	; a pre-recorded piece of music played at a concert, often before or after a concert
SE	; a type of computer engineer with work spanning from requirements definition, design, development, deployment, to project management
SP	bodyguard
SP	simulated patient
BS	(broadcasting satellite broadcast)
CM	a commercial; television ad
NL	hetero love stories, as opposed to BL or GL
SI	; the
KY	not able to read the room, unable to pick up on social cues or the situation, lacking social awareness or situational awareness
KY	someone who is unable to read the room
OK	agreement; approval; okay
OK	no problem
OK	OK; all right; fine
IMF	; the
あい	mutual, together, each other
あい	mutual, together, each other, meeting
あいだ	a space
あいだ	a while; an interval; (when followed by ) meanwhile
あいだ	between
あう	to meet
あう	to match with, to be proper
あう	to meet with (misfortune)
あか	dirt, grime
あか	copper
あなた	dear, darling, sweetheart
あなた	that person
ある	to exist, to be, to have
ある	to be recognized, be acknowledged
ある	to depend on, lie in, be influenced by
いく	vigorous, lively, powerful
いく	implies an indeterminate amount: several, many, much, a lot
いく	to be alive; to come back to life; to be vigorous, to be lively; to make something live, to plant something
そう	so, like that, in such a way, such
そう	yes, yeah; it's like that; that's how it is; I see. (interjection to show that the speaker is paying attention)
そう	seem, seem like, appear
そうかん	spectacular
そうかん	correlation, interrelation
そうかん	remand, repatriation
そうしん	sending (by electric signal, etc.)
そうしん	skinny
そうしん	absent-mindedness
おおい	: hey, ahoy
そこ	That place, area, or part near you. (near the addressee)
そこ	That organization or team near you. (near the addressee)
そこ	The place, area, or part we are talking about. (either the speaker or the addressee knows)
おそい	slow, late (as in delayed)
おそい	late (as in during the day)
オゾン	ozone
その	that ... near you (near the addressee)
その	the ... we are talking about.
その	...of it; its; their
それ	that of
それ	Used to call someone's attention to something; there!, look!
愛	affection
愛	tenderness
間	space, interval; among, between
間	extent, scope
間	hidden, invisible
会う	to meet with, see, meet again or for the first time
会う	to come across, meet by accident, bump into
会う	to gather, to come together
合う	to match, to fit, to agree
合う	to be proper, to be right
合う	together; with each other
青	blue, cyan, azure
青	green
青	immature, unripe, young
青い	green
赤	communism, socialism
秋	autumn
秋	autumn, fall
明らか	clear, obvious, distinct
明らか	apparent, visible
明日	tomorrow
明日	tomorrow
朝	the morning
朝	the morning, morn
朝	the morrow, next morning
あの	(deictically) that ... over there (far from the speaker and the addressee)
あの	(anaphorically) that ... we both know (both the speaker and the addressee know)
あの	similar to English or , said when hesitating in speech
あれ	distal demonstrative, something far off removed from both speaker and listener: that, yon
あれ	third-person personal pronoun: he, she, that person
あれ	you-know-what; a thing whose name the speaker does not want to mention
貴方	your house, your residence
彼方	the other, the other side
彼方	that way; over there, far away, in the distance
彼方	he, she, it: general third-person pronoun, referring to a person or thing far from both speaker and listener
新しい	new, novel
新しい	latest, recent
新しい	modern
有り	: there is, available
有り	OK, acceptable
安心	unworrying, safe
安心	relief
安心	lack of worry, peace of mind
安全	safe; secure
安全	safety; security
狗	puppy, dog
狗	a sentinel
狗	a snoop or spy
猫	a cat
猫	a cat
人	a person, human
人	an individual
人	mankind, people
水	water
水	drinking water
水	a fluid, liquid
蛇	a snake, serpent
蛇	a snake
蛇	a snake, serpent
花園	flower garden
米	meter
大豆	soybean, soya
零	spill
漢	Sino-, China
氵	left "water" radical (みず)
氷	a cold and sharp object, as a shard of ice
氷	: ice water; water filled with ice
エイト	eight
あく	lye, originally the clear alkaline liquid left after leaching wood ash in water
あく	scum, the coagulated proteins and fats that gather on the surface of a pot of boiling food
あく	components contained in vegetables that impart an acrid, astringent, or harsh flavor
悪	() evil, bad, disagreeable, unpleasant
悪	() to hate, to loathe
悪	evil, wickedness
説	theory
説	explanation
説	theory
伝説	tradition
伝説	legend
伝説	folklore
悪魔	a demon, devil, fiend
悪魔	a fiend
悪魔	the Devil
ま	a spatial interval
ま	a temporal interval
魔	demon, evil spirit
魔	sorcery, witchcraft
魔	demon, devil, evil spirit, evil influence
城	castle
城	castle
城	a structure surrounded by a moat or walls: a fortress, castle
ドラキュラ	Dracula
僕	I; me
僕	manservant
僕	manservant, servant
くん	Representing a sniffing sound.
君	king, lord, ruler
君	person of high rank
君	form of address to fellow colleagues or inferiors
餡蜜	syrup-covered anko (bean jam) and fruit
姫	princess
姫	concubine
姫	woman
今	now, at present
今	just; just now
引退	retirement
引退	to retire
引力	attractive force, attraction, affinity, magnetism, gravitation
引力	attractiveness, allure, magnetism
一	one (number)
一	the first, the best
一	unify, all
位置	location, position
位置	to be located; to be positioned; to be situated
生きる	to live; to exist
行く	to go; to come to one's place
行く	to walk, to pass
行く	to be delivered
多い	there are many, there is much, there are numerous, there is an abundance, there amply exists, abounding
送る	to send; to dispatch
送る	to see off, to take (somebody somewhere), to escort
送る	to pass the time
贈る	to send (as a present or gift)
遅れる	to be late, to be tardy
遅れる	to become late, to fall behind
襲う	to attack, to assault
襲う	to visit suddenly
襲う	to overcome one
損	loss (opposite of gain)
空	the sky
空	the weather or atmospheric conditions of the sky
空	a place that is distant
底	the bottom
底	base of a logarithm
送信	transmission
送信	to transmit
倉庫	warehouse
象牙	ivory
相関	correlation
相関	to be correlated
爽快	refreshing
爽快	refreshment
象	elephant
象	likeness, appearance
象	elephant
添う	to accompany
添う	to live up to
層	layer, level
層	layer
層	counter for floors or stories of a building
戦	a battle, conflict, fight, war
戦	a battle, conflict, fight, war
戦	a game, match
士	man, especially one who is esteemed or learned; gentleman
士	samurai, warrior
士	person with a certain qualification; -ist; -er; -ant
せんし	selfish, capricious
せんし	thoughts about many different things; thinking about many different things
せんし	prehistory
戦士	a soldier, a combatant, a warrior
千	a thousand, 1000
千	thousand
千	very large number
百	hundred
百	a very many, lots, a lot
百	one hundred years old, advanced age
十	ten, 10
十	a ten-year-old
十	ten, 10
億	conjecture
億	hundred million
億	a hundred million, 108
置く	to put, place, set
置く	to put down (a tool) (and thereby stop doing the task the tool was for)
置く	to leave (something)
丨	"rod" radical (, )
丨	number one
丶	tick or dot radical; radical #3 ()
丿	katakana ノ (no) radical (ノのかんむり)
乙	the second of the ten
乙	something which is second; B
乙	a stupid person, someone who is slow on the uptake
亅	"barb" radical (はねぼう)
二	second
二	two, 2
儿	Kangxi radical for leg
入	to enter
入	to insert
入	entering, going in
八	eight, 8
八	eight
URL	Uniform Resource Locator
ROM	lurker
冂	: the "upside down box" or "wide" radical
冂	: the "same" radical<!--
冂	: the ??? radical-->
激闘	fierce fighting
激闘	to fight fiercely
プロレス	professional wrestling
プロレス	A scripted or pre-planned action or performance involving two or more people.
伝	summon
伝	propagate, transmit
伝	legend, tradition
つて	connection, pull
冖	"crown" radical (, )
丁	leaf, block, classifier for cake
丁	something D
丁	street
魔界	the world of demons
むら	gathering, grouping
むら	gathering, grouping
むら	a design like marble or spots
村	village
村	village
村	local administrative division
紋章	crest
紋章	coat of arms
もん	thing ( mono)
紋	crest (often of a family)
if	"what-if" alternative history / events
wow	wow; whoa
メイン	the state of being the main thing
メインページ	main page
ページ	page (of a book, newspaper, etc.)
ドラゴン	Western dragon
激	violent, furious, intense
激	very, intensely, extremely
界	world
界	border
界	boundary
章	chapter; section
章	badge
編	to compile
編	to weave
編	to knit
神	a spirit or an essence present in all things, the main subject of worship of Shinto
神	a deity, god
神	thunder
東京	: the capital prefecture of Japan
京都	a placename, especially:
三	three
三	three, 3
三	third
四	four, 4
四	four, 4
四	four, 4
七	seven
七	seventh
七	seven times
万	ten thousand, myriad
万	various, many, all
