# lang=nl
week	hard
in	uit
in	buiten
west	oost
base	zuur
hoop	wanhoop
dank	ondank
output	input
chaos	netheid
chaos	orde
links	rechts
der	hier
der	her
maximum	minimum
protagonist	antagonist
import	uitvoer
import	export
Westen	Oosten
rechts	links
wit	zwart
-er	-se
alkali	zuur
orthodox	heterodox
orthodox	onorthodox
even	oneven
over	onder
later	eerder
later	vroeger
elegant	lomp
elegant	plomp
anode	kathode
dun	dicht
dun	dik
heterodox	orthodox
trekken	duwen
mis	goed
mis	juist
mis	raak
systole	diastole
kater	kattin
kater	poes
kater	vrouwtjeskat
teller	denominator
teller	noemer
homoseksueel	heteroseksueel
licht	zwaar
licht	gewichtig
hoi	doei
diastole	systole
beginnen	stoppen
westen	oost
westen	oosten
mager	rijk
mager	vet
potent	impotent
af	onaf
delen	vermenigvuldigen
dichtbij	ver
donker	licht
jong	oud
makkelijk	moeilijk
bruikbaar	onbruikbaar
bruikbaar	nutteloos
binnen	buiten
binnen	uit
beneden	boven
gezond	ongezond
mogelijk	onmogelijk
leeg	vol
onderwerp	voorwerp
scherp	bot
scherp	flauw
scherp	onscherp
scherp	wazig
veilig	onveilig
fijn	grof
gebruikelijk	ongebruikelijk
oneven	even
veel	weinig
veel	zelden
vroeger	later
zuidpool	noordpool
noordpool	zuidpool
onzeker	gewis
onzeker	zeker
onafhankelijk	afhankelijk
legaal	illegaal
legaal	onwettig
legaal	verboden
stijgen	dalen
stijgen	zakken
opstijgen	afdalen
opstijgen	landen
opstijgen	neerdalen
informeel	formeel
stomp	pin
stomp	spits
stomp	aai
stomp	schop
stomp	streling
weinig	veel
scheidbaar	onscheidbaar
onder	op
onder	over
onder	boven
couplet	refrein
krank	gezond
krank	genezen
niemand	iemand
niemand	iedereen
onbeweeglijkheid	beweeglijkheid
dankzij	ondanks
iets	niets
orde	chaos
orde	wanorde
iemand	niemand
duidelijk	onduidelijk
nep	authentiek
nep	echt
nep	natuurlijk
ergens	nergens
geldig	ongeldig
enkeltje	retour
's nachts	overdag
volgend	vorig
valide	onrechtsgeldig
valide	invalide
valide	ongeldig
valide	andersvalide
valide	behinderd
valide	invalide
valide	mindervalide
valide	beperkt
valide	gehandicapt
voorgerecht	nagerecht
voorgerecht	toetje
vrouwelijk	mannelijk
vorig	volgend
zekerheid	onzekerheid
verstaan	misverstaan
voordeel	achterdeel
voordeel	nadeel
nadeel	voordeel
allerlei	generlei
lichamelijk	geestelijk
vanaf	tot
vanaf	tot en met
absoluut	relatief
buitenland	binnenland
binnenland	buitenland
mee eens	mee oneens
mee eens	niet mee eens
aanmelden	afmelden
onbeheerst	beheerst
verdraagzaam	onverdraagzaam
gesloten	open
Nederduits	Hoogduits
gebieden	verbieden
onvoltooid	voltooid
opvallend	onopvallend
koopwoning	huurhuis
koopwoning	huurwoning
eerlijk	oneerlijk
bekend	onbekend
bekende	onbekende
geestelijk	wereldlijk
geestelijk	lichamelijk
hierheen	daarheen
toenemen	afnemen
concreet	abstract
meewerken	tegenwerken
ordelijk	chaotisch
ordelijk	rommelig
ordelijk	wanordelijk
