# lang=nl
woordenboek	dictionary
gratis	free, without charge
gratuit	gratuitous, not obliged to
pond	unit of mass, often broadly similar to 500 grams
pond	one of several monetary units
pies	; pee, piss
raven	to (hold a) rave, to party wildly
dialect	non-standard ; vernacular
deal	, a transaction or arrangement
deal	a , a bargain
fa	F (the musical clef or key)
a-	: not, without, opposite of
abacus	(arithmetic calculation device, usually with beads on rods)
abacus	abacus (upper portion of a column's capital)
abattoir	, slaughterhouse
abject	reprehensible, despicable
on	rarely used as shorthand for oneven (odd), the prefix on- means not (corresponds to English un-)
week	, period of seven days
week	soft, tender, fragile
week	weak, gentle, weakhearted
nu	now, at the present moment
nu	now, this time
nu	now (that)
lente	spring: the season between winter and summer
lente	year of age
zomer	summer
herfst	autumn, fall
y	the twenty-fifth letter of the Dutch alphabet
accolade	brace, curly bracket ({ })
accolade	anything that resembles the above
alien	an , an extraterrestrial
en	well, so
en	plus, and
van	by, of
hoed	a hat, worn on the head
hoed	a cover, protecting something else
te	located at, in, on
dat	that, those
die	that
die	those
die	a certain, a particular; some; this
in	(expressing containment)
in	, inside
een	a, an
niet	not, no, don't
niet	staple (wire fastener)
zijn	to be, to exist
lens	optical
lens	crystalline lens in the eye
lens	a type of barbless harpoon used for killing whales
wolf	one of many other canids of the family , especially of the genus Canis
star	stiff, frozen
star	rigid
acid	LSD, lysergic acid diethylamide
decade	a décade, 'week' of ten days in the French republican calendar; hence any ten consecutive days
decade	a set of ten book volumes, as part of a larger opus
decade	a , period of ten years
beer	a bear, any member of the family
beer	a person who is physically impressive and/or crude
beer	boar (male swine)
bit	mouthguard
man	, human male, either adult or age-irrespective
man	husband, male spouse
is	; , equals
are	, a unit of surface area
port	postage
port	(a glass of) port, port wine, Porto
bot	not sharp, blunt, dull
bot	impolite, badly behaving: curt, blunt, rude
libero	a libero
libero	a libero, a sweeper
ten	to the, at the
stock	, goods in supply
stock	basic capital
stock	shares (equity)
onderuitputting	incomplete use of budgeted funds
onderbenutting	underutilization, incomplete use
war	confusion, disarray
war	tangle, mess
war	an elevated area on the floor of a body of water, a kind of contraption for luring and catching fish, where nets and fykes could be installed
bank	bench
bank	couch, sofa
bank	place where seashells are found
open	, not closed
open	for business
open	, receptive
big	piglet, little pig
last	load, weight
last	burden
last	hindrance, problem
acacia	a shrub or tree of a species that belongs to the genus
acacia	any plant resembling an
radio	, tuner
blood	not courageous
blood	timid
gas	liquefied petroleum gas
gas	unpaved street
mars	march
mars	march!
mars	basket
accent	a notably deviant or disprivileged pronunciation of a language
lekker belangrijk	literally: nicely important (ironical), hence: not interesting or not important
affix	Affix
accountant	an ; an account-keeper or auditor
accumulator	battery
Belarus	Belarusian
Belarus	a make of tractor, named for
shuttle	a space shuttle
shuttle	a shuttlecock
shuttle	a bus
map	folder
map	directory, folder
ad	costing, totaling
ad	at, on
index	index finger
storm	; a wind scale for very strong wind, stronger than a gale, less than a hurricane
storm	assault, storming
drink	a social event were beverages are served, with or without snacks, e.g. as a celebration
drink	a beverage, a
Jupiter	(planet)
Jupiter	(Roman god)
stand	posture, position, bearing
stand	rank, standing, station; class
stand	score (of a game, match)
VTB-VAB	(Belgian Tourist and Automobile Association)
fuck	fuck!
kill	guy, dude
drug	a recreational , psychoactive substance, especially when illegal and addictive
plant	, any member of the kingdom
plant	cabbage, vegetable
dar	drone
green	Scots pine
green	, putting green
pink	pinkie
pink	one-year-old calf, a bovine yearling
violet	, a purplish colour
violet	-coloured
citrus	a , a tree of the genus Citrus
citrus	a fruit, a fruit from a tree of the genus Citrus
citrus	an orange tree
Chinese	woman from China
tempo	tempo, time
tempo	moment in time
wrong	wreath, a ring made of two strips of cloth intertwined used on top of helmets to soften any blow
worst	sausage
router	(networking device)
been	leg, limb of a person, horse (other animals would have poten) and certain objects (again many have poten)
been	side, leg
been	the upper part of a sock, above the ankle
pip	Pip (any of various respiratory diseases in birds, especially infectious coryza)
pip	of humans, a disease (particularly the common cold or the flu), malaise or depression
pit	a seed inside a fruit
pit	burner
Welsh	(language)
Welsh	the (people of Wales)
of	whether, if
of	either ... or
parallel	(all senses)
jack	jacket
sol	(the fifth step in the solfège scale of C, preceded by fa and followed by la)
humor	humour
polyglot	a , one who has mastered several languages
polyglot	a publication with an original texts along with translations in several languages; especially of a version of the Bible
shit	, darn
shit	stuff
shit	trouble
hand	a of a human, other simian or other animal with fingers
toe	after, afterwards
toe	shut, closed (especially as part of a compound verb like toedoen)
el	a unit of length corresponding to about 69 cm: ell, cubit
regime	regimen, diet
finish	; end
zebra	a , a black-and-white striped equid of the genus : , or
zebra	a zebra crossing, a pedestrian crossing
elk	each; every
elk	everyone; everybody
lama	llama
lama	Buddhist
jacht	hunt, hunting
jacht	chase, pursuit
jacht	yacht
voornaam	first name
voornaam	important, distinguished
voornamelijk	mainly, mostly; predominantly
tree	step , stair
tree	a unit of length of about 2 to 3 feet, roughly equivalent to a yard
boy	a male domestic servant, especially one with a darker skin in a colony
boy	, young man
adjunct	an , a subordinate person, esp. an attendant of a government official
her	hither
copula	a connective segment or piece of tissue, usually of cartilage, chiefly in fish
subject	, ego
stem	voice, sound made by the mouth using airflow
stem	the ability to speak
amai	exclamation of surprise or disappointment; boy!
amai	oh my, amazing
rechtsomkeert	(only used with maken) rechtsomkeert maken: do an about-turn, do an about-face; turn on one's heels, make a U-turn
kiwi	kiwi plant, syn.
kiwi	kiwi fruit
qua	regarding, concerning, in terms of
mikado	, pick-up sticks (game of skill)
mikado	, a former title of the emperors of Japan during a certain period
mikado	any emperor of Japan
air	, pretension or pretentious attitude
air	tune, melody
amusement	entertainment
arm	branch
arm	poor (not rich)
as	ashes
bepalingaankondigend voornaamwoord	a pronoun which announces that it should be immediately followed by a relative clause
Maneblusser	an inhabitant of the city of Mechelen, Belgium
Maneblusser	a native or inhabitant of the city of Middelburg, Netherlands
bijvoeglijk	adjectival
accident	accidental property
west	westwards
boom	any solid, pole-shaped, usually wooden object
aanbidden	to worship
aanbidden	to adore
was	wash, washing, laundry
wassen	to wash, to clean
wassen	to grow, to rise, to increase, to become higher and/or bigger, to wax
wassen	made of wax, waxen
uit de kluiten gewassen	strapping, of considerable size
kerel	lad, fellow, bloke
kerel	a long overgarment
kluit	lump, clod (mostly in connection to earth or soil)
met een kluitje in het riet sturen	to send someone off empty-handed or none the wiser
nicht	female cousin; daughter of someone's uncle or aunt
nicht	niece; daughter of someone's brother or sister
nicht	niece; daughter of someone's brother- or sister-in-law
hot	right, on the right side
hot	, popular
hot	, sexy, attractive
warm	, hot
warm	20 °C or more
cool	, fashionable
Thai	a person
vleugel	wing to fly with
vleugel	building wing
vleugel	grand piano
men	one, you, they, everyone; humanity, (the) people, the public opinion
bahasa	Malay and later, Indonesian language
astronaut	a (male)
project	(planned endeavor)
Afrikaans	African; of, from or pertaining to Africa
Afrikaans	; of, from or pertaining to the Afrikaans language
pigment	, coloring substance
finale	a final, e.g. the end-round in a competition
finale	the of a music piece
rat	a rat, medium-sized rodent belonging to the genus , or of certain other genera in the family
rat	any of the numerous, fairly large members of several rodent families that resemble true rats in appearance
rat	a traitor; a scoundrel; a quisling
indigo	the colour
indigo	-coloured
room	cream (of milk)
lob	lobe, lobule
hut	a small wooden shed
hut	a primitive dwelling
hut	a cabin on a boat
alligator	, crocodilian of the genus
pen	a long feather of a bird
amber	(colour of fossil resin)
amber	(fossil resin)
minister	a servant of a monastery, or assistant of a priest
sepia	cuttlefish
sepia	the color
sepia	a style of yellowish/brownish-and-black photography
avocado	, alligator pear
om	around, about
om	at (a time)
om	for (some purpose or object), concerning
marina	common, ordinary girl (often with a pejorative meaning)
replica	(exact copy)
johnny's en marina's	young people who are considered unsophisticated
brochure	a , a booklet
toilet	, bathroom
toilet	personal grooming
al	all, all of
al	already
bei	berry
bei	bey, beg
del	dune valley
del	dell, small depression in a landscape
del	trollop, floozie
adel	nobility
ai	pale-throated sloth
vrij	free; not imprisoned or enslaved.
vrij	free; unconstrained.
vrij	free; unobstructed, without blockages.
wei	a product obtained from milk; whey
wei	serum, a component of blood which does not play a role in clotting
haar	their
god	, deity
bad	bath (object)
bad	the act or process of bathing
bad	immersion
kind	child, kid, non-adult human
kind	first-degree descendant, still a minor or irrespective of age
kind	product of influence, breeding etc.
bal	a ball or any object with such a shape
bal	testicle, nut
bal	pass, shot
tamp	the end of a rope or chain
tamp	penis
SP	; the Socialist Party, a left-wing democratic socialist party in the Netherlands
ban	excommunication, denunciation, shunning
ban	anathema which is cast upon one who is excommunicated
ban	magic spell
barak	barracks
barak	barrack
barak	shed, shelter
beat	a , a rhythmic pattern, notably in music
beat	an early rock genre
bed	patch
bed	layer, often a substratum
zak	sack or sack-like container, such as a bag, sachet, pouch
zak	a pocket
zak	a scrotum
bef	collar
bef	an ornamental pair of bands worn hanging over the chest, notably as part of formal dress by magistrates, professors and certain Catholic and Protestant clergy
bef	by analogy, any of certain other similar objects
begin	start, beginning
bel	segment of a rattlesnake's rattle
bel	bubble
benen	made of bone
benen	to walk in large strides
benzol	benzene
ver	by far
ver	far, distant
vers	fresh
vers	a verse, a stanza
vers	a short poem
look	any plant of the genus ; leek
look	a , (clothing) style, appearance
jargon	, specialised language
slang	snake, squamate of the suborder Serpentes
slang	, language outside the conventional register specific to a social group
pedant	pedantic
me	myself
uwe	; yours
Taiwanese	woman
handicap	disability
handicap	, disadvantage
handicap	, measure of ability
leg	The act or process of laying something, particularly eggs.
angel	sting, dart
angel	hook, fish-hook, angle
slim	intelligent, bright
slim	clever, smart
slim	wrong, incorrect, bad
mea culpa	mea culpa
pata	canvas shoe, trainer, sneaker
gans	a goose, a waterfowl of the family , especially of the subfamily excepting the genera Cygnus and ; in non-scientific usage the term may be applied to larger waterfowl of the Anatidae who do not belong to the Anserinae
gans	whole, entire
gans	entirely
heel	complete, full, whole
heel	intact, unbroken, undamaged, untarnished
heel	big, significant
Zulu	police helicopter
zoom	edge, border
do	do, the musical note
do	C, the musical note
Turk	a Turkish person, a
deem	dumb person
ia	hee-haw
dia	slide
kali	river
tak	branch, twig, bough
tak	branch, offshoot, division
hard	, strong
hard	strong, not easily devalued
hard	unquestionable, uncontestable
nada	nothing
transgender	a transgender person
dada	, the cultural movement
dada	related to the art movement
dada	bizarre, irrational, like art
dodo	sleep, nighty night
wilde	savage, uncivilized person
wilde	brute
winkel	shop, store (establishment that sells goods to the public)
winkel	a shop, service point
winkel	a corner, as in winkelhaak
eventueel	possibly
eventueel	occasionally
eventueel	possible
down	, depressed
mama	, mother
palm	a , the flat (middle part of the hand)
lam	lamb, the young of a sheep
lam	the meat - or fleece/wool produce of a lamb; a dish prepared from lamb's meat
lam	a gentle person, especially an innocent child
ad libitum	, at one's pleasure, impromptu
pin	peg, pin
race	a speed contest, a
arts	physician, doctor
daar	there
daar	; that
daar	since (preceding a reason why something is like it is)
hier	; this
er	there
er	: it; him, her, them
er	of them, of those (often not translated in English)
⠁	The lower-case letter a.https://braille-autoriteit.org/standaarden/achtpuntsbraille/versie-2022/
bent	; are
bet	better
bled	a metal strip with holes
bled	a flat board such as a tabletop
bled	middle of nowhere
breed	broad, wide
breed	large, ample
dove	a deaf person
drank	beverage, drink
drank	alcoholic drinks, taken collectively
feed	encapsulated online content, such as news or a blog, that can be subscribed to; a
feed	a mechanism on social media for users to receive updates from their network
blond	, fair; of light color
blond	stupid
account	a subscription to an electronic service
account	a B2B-customer
gave	a gift, donation, present
gave	a gift, talent
go	go, an approval or permission to do something
grind	gravel, pebbles, shingle
grind	the diseases scabies (human), mange (canine)
hang	a support for hanging objects, such as a nail for a picture frame
