# lang=pl
gratis	perquisite, free gift
gratis	, free of charge
pies	male fox or badger
abandon	legal waiving of rights to one's ship that has lost trade value
abort	abortion
abort	force quit, closing
on	he , it
nu	quick!, forward!
absorber	scrubber
aby	to, in order to, so that
aby	so long as
de	ass, arse, butt
planet	manual tool for weeding and loosening the soil, in the form of a toothed frame on wheels
o	about
one	they;
spacer	stroll, walk
be	icky, yucky
be	icky, yucky
fart	fluke; stroke of luck
mandat	ticket, fine
mandat	mandate
port	harbor, haven
bot	ankle boot
słownik	dictionary, glossary, lexicon
słownik	vocabulary, personal lexicon
most	bridge
war	boiling water or other liquid
war	extreme heat
DVD	DVD player
and	starost's manor house
country	, country music
mundial	FIFA World Cup
but	keel block
SMS	, text message
SMS	short message service
radio	radio station
um	mind, reason
Haiti	Hispaniola
standard	standard
industrial	architecture
industrial	industrial music
software	technical and organizational ideas
absorbent	, absorber
absurd	absurdity, nonsense
absurd	absurdity
UFO	, unidentified flying object
drink	cocktail,
Schadenfreude	schadenfreude
yeti	, abominable snowman
after	after-party
dar	donation
pulpit	desktop
pulpit	, lectern
tuba	tube scarf
writer	graffiti artist
Czech	; Bohemian
trapezoid	trapezium,
pi	cheep,
humor	humour
humor	humour
humor	humour
zebra	crosswalk, pedestrian crossing, zebra crossing
zebra	black and white striped pattern
lama	llama
koala	koala
jacht	yacht
impala	, rooibok
boy	bellboy, office boy
my	we; I
my	we; I
kiwi	, kiwi fruit
argument	point,
adamant	diamond
second hand	thrift shop
car	czar, tsar, tzar
tan	dance
sorbet	, sherbet
pupa	bum, rear, buttocks
pupa	doll, puppet
hobby	, passion
minister	high-ranking official in the Chancellery of the President of the Republic of Poland
sepia	toning
tortilla	, Spanish omelette
marina	painting with a maritime theme
wij	myriapod
ba	nay, or rather, or should I say, moreover, hell
ba	duh, obviously
ba	; bah
bad	health resort
bakan	beacon
familia	family
bam	dong, ding dong
baon	battalion
barak	barrack, shack, shanty
barak	thick bush
barak	house near a forest
bat	joint
bat	whipping, lash
talk	talc, talcum powder
song	musical theater , usually with social or political commentary
slang	argot, jargon,
pedant	clean freak, neat freak, out-and-outer, , prig, stickler
me	, baa
talent	, gift
talent	talented person
idiom	, phraseme, phraseological unit, phraseologism, set expression, set phrase, turn of phrase
galaktyka	galaxy
matka	mother
matka	mother
matka	queen
dziewczynka	; little girl
dziewczyna	girlfriend
kawa	coffee
kawa	coffee
kawa	coffee
mrówka	ant, formicid
mrówka	someone who is hardworking and persistent; a busy bee
kaczka	duck meat
kaczka	urinal
kobieta	woman
kobieta	woman
długość	length
długość	length
długość	length
wysokość	height
wysokość	height
wysokość	height, altitude
kara	punishment; penalty, fine
kara	cart with two wheels and a box on top for carrying things
kara	quadrangle
siostra	sister
kurwa	prostitute, whore
kurwa	bitch, slut, whore;
kurwa	loathsome person, especially one who is unprincipled; someone who lacks integrity;
fizyka	physics
matematyka	mathematics
matematyka	mathematics
dziwka	whore
dziwka	bitch, slut, whore
książeczka	booklet
łyżeczka	teaspoon
łyżeczka	dessertspoon
łyżka	spoon
łyżka	spoonful
łyżka	shoehorn
prostytutka	prostitute
prostytutka	venal person
szklanka	glass
szklanka	glass
szklanka	black ice
chemia	chemistry
chemia	chemotherapy
magia	magic
magia	magic
magia	charm
wiosna	spring
czekolada	chocolate
czekolada	chocolate
cebula	onion
cebula	onion
herbata	tea, tea plant
drukarka	printer
cebulka	hair follicle
dyskietka	floppy disk
zima	winter
wieża	tower
klawiatura	keyboard
klawiatura	teeth
szkoła	school
szkoła	schooling, education
szkoła	school, schooling, education
podłoga	floor
podłoga	floor
góra	mountain
góra	top; up
budynek	building
budynek	manner of building; method of construction
budynek	construction
stół	table
stół	estates, the income from which was intended to support the owner, primarily the king
nauczyciel	teacher
nauczyciel	teacher, mentor
kwiatek	howler
kwiat	flower
kwiat	flower
kwiat	flower
ściana	wall; face
lampa	device containing oil, burnt through a wick for illumination; an oil lamp
lampa	face, head
prezerwatywa	condom
wódka	vodka
remonta	remount
do	; to, toward
do	; into, in
do	; for, to
suka	bitch
suka	bitch
suka	bitch
musik	kitty
tak	like this; so
luz	spacious place
luz	slack
luz	clearance
rata	installment
kita	fluffy tail
kita	crest, brush, tuft
down	Down syndrome
down	Downie
down	dip, dumbhead, dumb cluck, dummkopf, hammerhead, ignorant
mama	mum, mom, mother
mama	wetnurse
mama	nurse, caregiver
adherent	, henchman, supporter
pin	lead,
ber	foxtail millet
lead	paragraph, teaser, lead-in
facet	guy, fellow, chap
facet	teacher
bet	baby's sleeping bag
bet	duvet, eiderdown
fit	horse that is well prepared for a race
hurt	wholesale
lit	lithium
lit	lithium carbonate
lit	litas
pula	stake
