# lang=pt
peso	leveza
amar	detestar
amar	odiar
irregular	regular
dia	noite
santo	pecador
santo	impuro
santo	réprobo
haver	inexistir
superior	inferior
perder	ganhar
grande	pequeno
curva	reta
maldito	bendito
falso	correto
falso	real
falso	verdadeiro
falso	certo
falso	válido
falso	de verdade
falso	V
falso	verdadeiro
falso	fiel
falso	leal
machismo	femismo
sem	-endo
sem	-ando
sem	-indo
vida	morte
construir	destruir
novo	antigo
novo	vetusto
novo	velho
novo	usado
novo	idoso
novo	velho
novo	ultrapassado
novo	antiquado
novo	antigo
novo	vetusto
novo	passado
novo	velho
vincular	desvincular
objeto	sujeito
claro	escuro
claro	escuro
claro	sombrio
claro	fechado
claro	nublado
claro	ambíguo
claro	dúbio
claro	incerto
claro	inclaro
claro	indistinto
claro	escuro
claro	incerto
claro	duvidoso
rico	pobre
aumentar	atenuar
aumentar	encurtar
aumentar	abreviar
aumentar	diminuir
aumentar	subtrair
concordar	discordar
constante	variável
constante	intermitente
constante	descontínuo
constante	inconstante
sombra	claridade
sombra	luz
sombra	sol
sombra	luz
rebelde	tratável
rebelde	submisso
alarmar	acalmar
alarmar	sossegar
alarmar	tranquilizar
engordar	adelgaçar
engordar	emagrecer
viciar	desviciar
clarear	escurecer
clarear	fechar
clarear	escurecer
clarear	anoitecer
consignar	ocultar
consignar	omitir
orquestrar	desorganizar
orquestrar	bagunçar
pender	autonomizar
pender	endireitar
pender	erguer
pender	independentizar
pender	levantar
desbloquear	bloquear
honrado	desonrado
velho	recente
velho	novo
velho	jovem
velho	moço
velho	novo
velho	novo
velho	recente
velho	novo
raramente	frequentemente
raramente	geralmente
agradecer	desagradecer
maldisposto	bem-disposto
ligadura	desligadura
merdoso	valioso
merdoso	bom
merdoso	caprichado
merdoso	significativo
merdoso	divertido
merdoso	interessante
merdoso	agradável
merdoso	modesto
merdoso	simples
merdoso	despojado
demitir	empregar
demitir	contratar
solidificar	derreter
solidificar	liquefazer
molhado	seco
domínio	vassalagem
domínio	subjugação
domínio	dependência
domínio	imagem
domínio	contradomínio
felizmente	infelizmente
felizmente	descontentemente
felizmente	tristemente
ocidental	oriental
ocidental	leste
ocidental	oriental
direita	esquerda
experiência	inexperiência
grosseiro	Thesaurus:cortês
equívoco	inequívoco
aromático	fedorento
aromático	mal-cheiroso
aromático	inodoro
variar	manter
variar	se
pendurar	despendurar
somar	dividir
somar	separar
somar	subtrair
impaciente	paciente
desligar	Thesaurus:unir
feio	bonito
feio	lindo
feio	belo
mobilidade	imobilidade
ortodoxo	inortodoxo
ortodoxo	heterodoxo
responsabilidade	irresponsabilidade
impessoal	pessoal
leigo	profissional
encaixar	desencaixar
unicelular	pluricelular
Ártico	Antártico
Antártico	Ártico
saída	entrada
comprimir	descomprimir
semelhança	diferença
semelhança	dissemelhança
semelhança	diferença
semelhança	disparidade
amanhecer	anoitecer
heterogêneo	constante
heterogêneo	homogéneo
varejista	atacadista
varejista	grossista
varejista	atacado
varejista	atacadista
varejista	grossista
insípido	Thesaurus:monótono
machista	femista
objetividade	subjetividade
infelizmente	felizmente
infelizmente	contentemente
infelizmente	alegremente
gatinho	gatarrão
gatinho	gatão
ponteiro	talhadeira
transitividade	intransitividade
volumoso	Thesaurus:grande
fraco	forte
fraco	potente
esvaziar	encher
encolher	aumentar
deificar	desconsiderar
deificar	desprezar
deificar	humilhar
loucura	sanidade
morrinhento	Thesaurus:fétido
morrinhento	Thesaurus:triste
morrinhento	Thesaurus:monótono
vendável	invendível
vendável	invendável
molhadura	secagem
molhadura	secamento
embargar	desembargar
deficiência	excesso
imobilização	mobilização
imobilizar	mobilizar
redução	oxidação
viável	inviável
vantagem	desvantagem
aquém	além
cumprir	descumpir
cumprir	incumprir
bondade	maldade
imóvel	móvel
imóvel	móbil
piedade	impiedade
maldade	bondade
primogênito	ultimogênito
primogênito	caçula
primogênito	ultimogénito
confidência	inconfidência
crente	descrente
crente	ateu
desvantagem	vantagem
inflexível	flexível
aparafusar	desparafusar
aparafusar	desaparafusar
emagrecer	engordar
entortar	desempenar
entortar	desentortar
descalçar	calçar
esquerdino	destro
caçula	primogénito
caçula	primogênito
elegível	inelegível
exalar	inalar
exalar	inspirar
imprudência	prudência
monolíngue	plurilíngue
monolíngue	plurilingue
monolíngue	multilíngue
monolíngue	multilingue
anábase	catábase
patriarcado	matriarcado
penúria	felicidade
penúria	prazer
penúria	alegria
penúria	fartura
penúria	abundância
penúria	riqueza
vantajoso	desvantajoso
revoltar	apaziguar
revoltar	pacificar
alforria	escravização
lanterninha	primeiro
lanterninha	colocado
intumescer	desintumescer
bem-disposto	maldisposto
graúdo	miúdo
matriarcado	patriarcado
mais de	abaixo de
mais de	menos de
mais de	menos do que
mais de	menos que
calorento	friolento
friorento	calorento
descrente	religioso
descrente	crente
filoginia	misoginia
sútil	inconsútil
desvencilhar	envencilhar
envencilhar	desvencilhar
imóbil	móvel
imóbil	móbil
heterofóbico	homofóbico
heterofóbico	homófobo
inatingível	atingível
atingível	inatingível
desavir	compatibilizar
desavir	concordar
inelegível	elegível
parissílabo	imparissílabo
imparissílabo	parissílabo
catábase	anábase
desvantajoso	vantajoso
