# lang=pt
bit	b
peso	pesadez
xerox	fotocópia
xerox	fotocopiadora
ver	enxergar
ver	olhar
ver	enxergar
ver	observar
ver	mirar
ver	contemplar
ver	perceber
ver	notar
ver	testemunhar
ver	presenciar
ver	observar
ver	compreender
ver	entender
ver	sacar
ver	visitar
ver	se
ver	[[encontrar]]-[[se]]
ver	encontrar
ir	andar
ir	partir
volume	tomo
volume	quantia
volume	quantidade
kernel	núcleo
em	dentro de
em	em cima de
em	sobre
em	de
em	parte
em	[[parte]] [[de]]
em	para dentro de
em	[[logo]] [[depois]]/[[após]]
em	após
em	logo
em	depois
em	consoante
em	durante
em	[[vestido]] [[de]]
em	vestindo
em	de
em	vestido
grid	grid de largada
saber	conhecer
saber	conseguir
saber	[[ter]] [[gosto]] [[de]]
saber	ter
saber	gosto
saber	de
local	sítio
local	lugar
lanterna	lâmpada
lanterna	candeeiro
lanterna	lampião
lanterna	farol
caber	passar
caber	pertencer
caber	competir
caber	calhar
querer	ter
querer	de
querer	[[ter]] [[vontade]] [[de]]
querer	vontade
querer	desejar
querer	ter
querer	de
querer	vontade
querer	[[ter]] [[vontade]] [[de]]
querer	[[estar]] [[quase]]/[[prestes a]]
querer	prestes a
querer	estar
querer	quase
querer	desejar
querer	adorar
querer	de
querer	gostar
querer	amar
querer	[[gostar]] [[de]]
querer	[[precisar]] [[de]]
querer	de
querer	precisar
pelúcia	peluche
ante	na frente de
ante	em frente a
ante	diante de
massa	pasta
massa	macarrão
massa	aglomerado
massa	concentração
massa	argamassa
massa	rebouco
massa	cafelo
massa	povo
massa	multidão
massa	peso
massa	grana
massa	dinheiro
massa	verba
quarto	cómodo
quarto	câmara
terra	território
terra	região
terra	chão
terra	solo
terra	terreno
terra	terra firme
terra	natal
terra	terrinha
terra	terra [[natal]]
por	durante
por	a troco de
por	em troca de
por	de acordo com
por	segundo
por	em nome de
por	cada
por	pelo meio de
por	através de
por	ao redor de
por	perto de
por	ao redor de
por	mais ou menos
por	aproximadamente
por	cerca de
por	perto de
