# lang=ru
большой	маленький
со	без
со	на
да	нет
нет	да
часто	ре́дко
часто	неча́сто
прилив	отли́в
)	(
открывать	закрыва́ть
открыть	затвори́ть
открыть	закры́ть
брат	сестра́
северный	ю́жный
отец	мать
богатый	бе́дный
под-	от-
юг	се́вер
север	юг
ястреб	го́лубь
южный	се́верный
огонь	лёд
узкий	широ́кий
тёмный	све́тлый
свет	темнота́
свет	тьма
свет	мрак
свет	тень
красивый	некраси́вый
красивый	уро́дливый
правый	ле́вый
шить	поро́ть
маленький	большой
против	за
широкий	у́зкий
горе	до́лу
можно	нельзя́
Овен	Весы́
Телец	Скорпио́н
Рак	Козеро́г
Лев	Водоле́й
Скорпион	Теле́ц
Стрелец	Близнецы́
Козерог	Рак
Рыбы	Де́ва
честь	позо́р
честь	бесчестье
длинный	коро́ткий
неодушевлённый	одушевлённый
одушевлённый	неодушевлённый
загадка	отга́дка
загадка	разга́дка
нельзя	мо́жно
нету	есть
полдень	по́лночь
полдень	north
полдень	midnight
полночь	noon
полночь	south
твёрдый	мя́гкий
невеста	жени́х
невозможно	норма́льно
невозможно	обы́чно
невозможно	мо́жно
невозможно	возмо́жно
мёртвый	живо́й
ответ	вопро́с
редко	ча́сто
тяжёлый	лёгкий
неизбежный	преодоли́мый
неизбежный	устранимый
неизбежный	необыкнове́нный
неизбежный	непостоя́нный
передний	за́дний
единственный	мно́жественный
увеличить	уменьшить
увеличиваться	убыва́ть
увеличиваться	спада́ть
увеличиваться	па́дать
увеличиваться	уменьша́ться
несдержанный	сде́ржанный
низкий	высо́кий
закрывать	открыва́ть
закрыть	откры́ть
позже	ра́нее
позже	ра́ньше
позже	пре́жде
едва	ещё ка́к
счастливый	несча́стный
светлый	мра́чный
светлый	тёмный
светлый	ненасы́щенный
светлый	ту́склый
светлый	бле́дный
нападение	защи́та
нападение	оборо́на
неполный	по́лный
то и дело	ре́дко
то и дело	никогда́
совершенный	несоверше́нный
несовершенный	соверше́нный
живой	мёртвый
лёгкий	тяжёлый
непременно	ни в коем слу́чае
непременно	никогда́
приготовленный	непригото́вленный
серьёзный	несерьёзный
старший	мла́дший
жених	неве́ста
точный	нето́чный
потолок	пол
опытный	нео́пытный
расход	дохо́д
расход	прихо́д
легко	тяжело́
легко	тру́дно
легко	сло́жно
одеваться	раздева́ться
раскрыть	скрыть
толкать	тяну́ть
искусственный	есте́ственный
искусственный	приро́дный
искусственный	натура́льный
продажный	неподку́пный
запирать	отпира́ть
запереть	отпере́ть
роскошный	убо́гий
открываться	закрыва́ться
открыться	закры́ться
собирать	разбира́ть
спешить	ме́шкать
спешить	ме́длить
спешить	отстава́ть
уродливый	красивый
культурный	некульту́рный
присутствие	отсу́тствие
старт	фи́ниш
испарение	конденса́ция
заряжать	разряжать
проиграть	вы́играть
проигрывать	выи́грывать
неграмотный	гра́мотный
достойный	недосто́йный
переходный	неперехо́дный
разъединять	соединя́ть
чисто	гря́зно
сойти	взойти́
одеть	разде́ть
подойти	отойти́
приближаться	удаля́ться
младший	ста́рший
тянуть	толка́ть
прикольный	ску́чный
смертность	рожда́емость
русофобия	русофилия
талантливый	безда́рный
талантливый	бестала́нный
западный	восто́чный
братия	се́стрия
толковый	бестолко́вый
тесный	просто́рный
тесный	свобо́дный
одевать	раздева́ть
одеться	раздева́ться
одеться	разде́ться
раскрывать	скрыва́ть
зарядить	разряди́ть
хуже	лу́чше
уверенный	неуве́ренный
земной	неземно́й
