# lang=ru
собака	hound
собака	mongrel, cur, bastard
указ	enactment, ordinance, decree, edict, ukase
зонт	umbrella
зонт	sunshade, parasol
зонт	canopy, awning
большой	big, large, great
большой	important
большой	grown-up
палец	finger or toe
палец	(technical) (crank) pin, finger, cam
кошка	cat-o'-nine-tails
кошка	grapnel, drag
кот	tomcat
зонтик	umbrella
зонтик	sunshade
зонтик	canopy
к	to, toward
к	by, for
г	hecto-
д	d, deci- (0.1)
ч	h, hour
ш	The letter sound is similar to English .
ы	lol, used to express laughter. Usually used as "ы-ы-ы", to show the crying sound you make after you were laughing for too long.
баской	pretty
баской	well-dressed
баять	to speak, to tell
бортник	beekeeper who works in the forest with wild honeybees
бочаг	deep pool, small pit filled with water, underwater hole in the bed of a river or lake
браный	patterned, adorned with a pattern or design
брашно	food, sustenance
бредень	small dragnet, seine (for use in shallow water)
бредник	dragnet, seine
буява	open, elevated cemetery or graveyard
буево	open, elevated cemetery or graveyard
былица	blade of grass
быличка	a genre of Russian folklore prose: a short narration about a person's allegedly true encounter with evil spirits or people with demonic properties (witches, sorcerers, werewolves, etc.)
масленица	; Maslenitsa, Shrovetide, Butter Week, Crepe Week
масленица	feast, high life
масленица	butter churn
бёрдо	comb, reed (in a loom)
узус	usage, standard, customary practice.
узус	usage
скот	cattle, livestock
скот	brute, beast
произношение	pronunciation
произношение	articulation
мэр	mayor
КГБ	: KGB
водка	vodka
водка	flavored liquor, liqueur
водка	tincture
яблоко	apple
яблоко	eyeball
адсорбент	adsorbent
язык	tongue
язык	language
язык	prisoner for interrogation, canary, informer
царь	tsar, Russian emperor
царь	king (figuratively, or referring to ancient or non-European monarchs)
царица	: tsarina, tsaritsa
царица	empress, queen (in ancient or non-European monarchies)
царица	queen
сахарная вата	cotton candy, candy floss, fairy floss
вата	absorbent cotton, cotton wool, wadding, batting
вата	drugstore cotton
вата	glass wool
лисица	fox ()
лисица	vixen
палочка	: (small) stick
палочка	baton
палочка	drumstick
ГУЛАГ	: gulag
харч	grub, food
где	where
где	now (sometimes; occasionally)
русский	Russian, related to Russian ethnicity, language, or culture
русский	Russian, related to the Russian state
русский	Rus', related to the Rus' people and Kievan Rus'
знать	to know: to be familiar with or accustomed to a person, place, or thing
знать	to know: to be in possession of a specific fact or datum
