# lang=ru
зонт	зо́нтик
зонтик	зонт
язык	речь
царь	коро́ль
лисица	лис
лисица	лиса́
Россия	Свята́я Русь
Россия	Ру́сская земля́
Россия	Русь
Россия	ро́дина
Россия	Росси́юшка
Россия	Ма́тушка Росси́я
Россия	Великоро́ссия
Россия	Росси́я-Ма́тушка
Россия	Рои́сся
Россия	Эрэ́фия
Россия	РоZZи́я
Россия	Ра́шка
Россия	Пидора́шка
Россия	Ра́ша
Россия	Расе́я
Россия	Кацапста́н
Россия	оркоста́н
Россия	Каца́пия
Россия	Моско́вия
Россия	Ра́бские Вымира́ты
Россия	Мо́рдор
Россия	Хуйлоста́н
Россия	Пынеба́бве
работа	труд
лиса	лис
лиса	лиси́ца
лиса	лиси́чка
укроп	украи́нец
укроп	хохо́л
укроп	укр
одеревенеть	задеревенеть
слава богу	слава богам
открывать	раскрыва́ть
открывать	отворя́ть
открыть	отвори́ть
открыть	раскры́ть
открыть	отвори́ть
открыть	обнажи́ть
открыть	включи́ть
Афганистан	Афга́н
брат	брату́ха
брат	брата́н
Луна	луна́
слон	офице́р
чёрный	негр
меркурий	ртуть
меркурий	гидра́ргирум
ступня	нога́
ступня	стопа́
или	ли́бо
МТКК	спейс шаттл
МТКК	шаттл
многоразовый транспортный космический корабль	спейс шаттл
многоразовый транспортный космический корабль	шаттл
отец	ба́тя
отец	па́па
отец	па́пенька
отец	па́пка
отец	паха́н
отец	папа́ша
отец	тя́тя
отец	па́почка
отец	ба́тюшка
отец	ба́тька
отец	роди́тель
отец	папа́нька
отец	пре́док
отец	праоте́ц
отец	свяще́нник
отец	поп
отец	ба́тюшка
отец	паха́н
отец	ста́рший
отец	ба́тя
отец	папа́ша
путь	доро́га
путь	стезя́
Беларусь	Белору́ссия
Беларусь	Еблару́сь
Беларусь	Бульбоста́н
Беларусь	Белора́шка
враг	проти́вник
яд	отра́ва
щека	лани́та
стреха	застре́ха
стреха	свес
стреха	[[свес]] [[крыша
противо-	контр-
противо-	анти-
смоква	инжи́р
смоква	фи́га
смоква	инжи́р
смоква	смоко́вница
катран	крамбе
катран	морска́я соба́ка
катран	колю́чая аку́ла
мама	мать
мама	ма́мочка
мама	ма́менька
мама	мама́ша
клуб	о́блако
Белоруссия	Бульбондия
Белоруссия	Бульбоста́н
Белоруссия	Еблару́сь
ребята	де́ти
юг	зюйд
изъясняться	объясня́ться
Петроград	Петро́поль
Петроград	Ленингра́д
Петроград	Са́нкт-Петербу́рг
Петроград	Пи́тер
золото	а́урум
золото	зла́то
землёй	землёю
краше	краси́вее
копула	свя́зка
копула	глаго́л-свя́зка
север	норд
север	по́лночь
что	чё
что	чо
что	что́ ли
что	он
что	от
что	шо
что	кото́рый
пиво	пива́с
материк	контине́нт
страх	у́жас
страх	испу́г
страх	боя́знь
страх	трево́га
огонь	костёр
огонь	жар
огонь	пла́мя
огонь	пыл
огонь	свет
огонь	стрельба́
живот	пу́зо
