# lang=sv
gratis	free, without charge
gratis	free, without charge
A	books and libraries
A	; all operations with a public body as principal
antonym	antonymous
synonym	synonymous
abba	Abba, Father
abort	, abortion
abort	an , a miscarriage
abrupt	, sudden
abrupt	suddenly
millennium	a (period of one thousand years)
nu	now (at this moment)
nu	present, now
robot	a (machine that carries out complex tasks)
robot	a missile, guided missile
the	(tea)
absolutism	absolute monarchy (as a form of government), dictatorship
absolutism	the principle of abstaining from alcohol
absolutist	a teetotaller; a person who completely abstains from alcohol (often out of principle)
absolutist	an ; a supporter of absolutism, despotism, dictatorship
accept	a bill of exchange that has been accepted
accept	the acceptance of a bill of exchange
acceptant	an accepter of a bill of exchange
avatar	an (representing a user on an internet forum, a player in a video game, or the like)
spring	a running (back and forth)
de	the, a definite article used in the beginning of noun phrases containing attributive adjectives and nouns in the plural. This article is used together with the definite suffix of the noun to indicate the definiteness of the noun phrase.
en	object form of the indefinite pronoun man ("one," "you")
en	one, you
het	hot; having a very high temperature
het	hot; feverish
het	hot; (of food) spicy
van	accustomed to, used to, having the habit to
van	experienced, adept
van	a member of the
te	to appear (a certain way)
in	into, to
orange	orange (orange-colored)
orange	orange
sky	cloud
sky	liquid that forms when meat is fried or roasted (with fat and juices, collecting at the bottom of the pan); (pan) drippings, meat juices, cooking juices, etc.
o	O (particle)
o	the letter o
FTP	An , a File Transfer Protocol.
OS	operating system;
OS	an Olympiad (instance of the Olympic Games);
OS	the Olympic Games, the Olympics;
AD	a combination of vitamin A and D, given to children (in 2008 replaced by only vitamin D)
i	in; located inside
i	in; specifies a place, a region or a country
yttrandefrihet	freedom of speech
bit	a piece (forming a part of some whole)
bit	a (certain (not insignificant) distance)
bit	a tune, a piece (song)
man	husband
man	a member of a crew, workforce or (military) troop
be	to ask for, request someone else to do something
be	to pray
be	to beg, to plead with someone for help or for a favor
is	ice (frozen water)
is	ice (mass of ice, for example a sheet)
fart	speed
mandat	mandate
port	a larger entrance
hund	a dog, a hound
os	fumes, vapors (with a particular odor and slightly suffocating, especially from cooking)
os	a river mouth; the place where a creek, stream or river enters into a lake
onsdag	Wednesday (now generally considered the third day of the week in non-religious contexts in Sweden)
vecka	a week, a period of 7 days.
vecka	a numbered period, ranging from 1 to 52 or 53, containing seven days beginning with Monday and ending with Sunday
vecka	to make more or less sharp folds () (in something soft, like fabric, paper, or skin, deliberately or inadvertently); to fold, to crease, to pleat, etc.
dygn	day, nychthemeron (24 hours)
dygn	day (specifically, the 24 hour period from midnight to the following midnight)
bot	fine (penalty in money)
bot	cure; remedy
bot	(religious) penance
ten	a thin metal rod
ten	the shaft of a spindle (in any material)
stock	a log (trunk of a dead tree)
stock	a (of a gun)
stock	a thick (wooden) object
hell	hail (exclamation or greeting)
jour	on-call duty
jour	an on-call service or on-call personnel or the like; urgent services, a hotline, etc.
sela	to harness (put a harness on (a horse or other draft animal))
and	a wild duck
country	, country music
euro	the ; the currency
euro	a , coin of that currency
inflation	(of academic grades)
bank	a bank
bank	a bank
bank	a bank
tax	a dachshund (dog breed)
metadata	; data about data, information about information
