# lang=tr
ne	,
bay	(poor)
bay	(poor)
bay	(poor)
adam	,
üzgün	,
sinirli	(2)
kapkara	,
sesli harf	(abbreviated)
sesli harf	(abbreviated)
sessiz harf	(abbreviated)
sessiz harf	(abbreviated)
ünsüz harf	(abbreviated)
ünsüz harf	(abbreviated)
ünlü harf	(abbreviated)
ünlü harf	(abbreviated)
evli	, ,
minik	, , ,
sululuk	(1)
müşahhas	(obsolete)
dönüşlü	(1)
vicdan	vicdansız (unscrupulous)
kalpsiz	(for men)
kalpsiz	(for women)
genellikle	nadiren
ileri görüşlülük	tutuculuk ; conservatism; reactionaryism
ileri görüşlülük	gericilik
Kur'ancılık	, , ()
istemsiz	, ,
istemli	, ,
münasip	, ,
