# lang=tr
fa	fa (fourth diatonic (or sixth chromatic) musical note)
fa	F (musical note or key)
ab	water
abdal	A religious devotee in radical Sufism who has attained a high level of spirituality, comparable to a sannyasi in Hinduism
abide	something of monumental importance
abide	monument
bone	bathing cap, swim cap, swimming cap.
de	as well, too, also
de	however
en	width
en	a cachet on an animal or bonded goods
en	the most ..., the ...-est ()
te	Letter of the Arabic alphabet:
in	lair, den, burrow
lens	contact lens
seven	loving, affectionate
seven	lover (somebody who loves)
can	soul, life, being
can	heart, soul
can	HP, hitpoints, health
o	he, she, it
bit	louse belonging to genus
bit	a sucking insect parasitic on plants or animals, including true lice and aphids
be	Letter of the Arabic alphabet:
be	hey there, hey! you!
is	soot, lampblack, particles of amorphous carbon and tar produced by the incomplete combustion of coal
is	fume, a material that has been vaporized from the solid or liquid state and re-coalesced to the solid state
Esperanto	Esperanto
nine	grandmother
ten	vulva of a cow
BM	UN (United Nations)
sela	A prayer recited by a muezzin before a funeral prayer or the call to prayer on an Eid or on Fridays.
bank	bench
but	thigh
smiley	smiley
ad	name, first name, last name
ad	reputation, fame, name, repute
it	, detestable person, cur
yeti	faculty, skill
radar	radar
DNA	DNA (deoxyribonucleic acid)
dar	narrow
dar	scant
dar	close-fitting, tight -
tempo	tempo
Slovak	Slovak (person of Slovak descent)
sol	left (side)
sol	left (side)
at	horse
at	knight
el	possession
el	round
an	moment
zebra	zebra
yak	(ox-like mammal)
lama	llama,
lama	lama, a master of Tibetan Buddhism
Volapük	Volapük
koala	koala
impala	impala, redbuck, an African antelope of the species
boy	stature
boy	edge, side (of some linear feature)
his	feeling, sensation, emotion
her	every
her	every time
art	hind, rear
art	the other side
as	ermine
as	weasel
son	last, final
son	end, ending
son	consequence, result, conclusion
not	a short message; note
not	grade, score
men	An act of prohibiting, forbidding
men	An act of preventing, hindering
men	I, me
habitat	habitat
mine	glaze
mine	enamel
mine	enamel, the hard covering on the exposed part of a tooth
tan	dawn, twilight
tin	soul, spirit
tin	The essence or entity which some metaphysicists claim that the universe was created by or originated from
amber	Ambergris, the waxy product of the sperm whale.
amber	A common noun for nice-smelling things.
amber	The stop codon "UAG".
safari	safari
al	blood red
al	dark red
alo	hello (only when picking up the phone)
bakan	minister
bal	honey
MS	: AD, CE
ban	(title)
baskül	weighing machine, scale
AB	the blood type
bel	waist
bel	spade
bel	mark, sign
ben	I, me
ben	birthmark, mole
jargon	jargon
us	reason
us	intelligence
twit	(message on Twitter)
he	Letter of the Arabic alphabet:
pizza	pizza
kara	black, dark
kara	brunette
kara	dark skinned
do	C (musical note)
chat	(exchange of text or voice messages in real time through a computer network)
chat	chat room
kamus	lexicon
sana	: you
dua	prayer
dua	prayer
mama	baby food
mama	pet food
lam	Letter of the Arabic alphabet:
pin	coop for poultry
er	early
er	suhur
er	man, male
ilk	first
ilk	pristine
ilk	first, firstly
ilke	principle
ilke	doctrine
ilke	law of nature, principle
fire	wastage
fire	outage
fire	shrinkage, loss, loss in weight, decrease
tundra	tundra
had	limit
had	boundary
mal	cattle
mal	goods, property
mal	asset
legal	(being allowed or prescribed by law)
ideal	ideal
ideal	ideal
ye	Last letter of the Arabic alphabet:
sin	grave, burial place
sin	Letter of the Arabic alphabet:
basket	(basketball: act of putting the ball through the basket)
basket	basketball (the sport)
pay	portion
pay	numerator
sent	cent ("currency")
verim	yield, return
lake	Polished with lacquer.
bol	loose
bol	abundant
vole	A in association football.
vole	A shot in tennis before the ball hits the ground.
bir	Used to emphasize a particular quality about something
pöf	Interjection expressing tiredness or disgust
sap	not having a significant other
sap	handle
sap	stem, stalk
et	The muscle and fat tissue in humans and animals; meat, flesh.
et	The muscle tissue in animals used as food.
et	The muscle tissue of specifically beef or lamb used as food.
salt	exclusively, only, just, absolute
far	headlight
far	eye shadow
lig	league (organization of sports teams)
fil	elephant, a mammal of the order Proboscidea, having a large trunk
fil	bishop, the chess piece which moves along diagonal lines
mana	meaning
mana	purpose, point
organ	(official publication)
organ	body (of an organization)
san	reputation
mare	Used when addressing a female, usually as an intensifier, but seldom used independently.
manga	A squad of 10 soldiers.
manga	Sleeping quarters for sailors in warships.
manga	A group of people, crowd.
platform	platform
platform	platform
kin	grudge, desire to take revenge
moron	fool, stupid, idiot, moronic
harem	harem
agora	(marketplace in Classical Greece)
sofa	An area in the house where all rooms open into; hall, hallway.
hem	and also
hem	both … and
han	caravanserai, inn
kuzu	lamb, sheepling, yeanling, a little or young sheep
kuzu	small mudbrick abouth half the size of a normal one
kuzu	small fruit or vegetable attached to a larger one
Türkçe	Turkish (language)
Türkçe	Turkic (language)
size	: you – plural or polite
şibidak	sunroof
file	A net made of wool, cotton etc.; mesh.
file	A meshwork bag used for shopping.
file	A hairnet.
damper	dump truck, dumper
ha	yes; yeah
ha	yea, uh-huh; understood, got it
ha	oh yeah
ham	raw, unripe
jag	unfinishedly, messily, neglectfully
geven	milkvetch, astragal, any flowering plant in the genus
jaguar	jaguar
