# lang=tr
lens	/
larva	(archaic)
salt	(absolute)
ser	,
dem	(breath):
dem	(moment):
metres	, (slang), ,
Allahu ekber	(used during Ataturk's administration)
telaş	,
bala	(child)
bala	(baby)
hele	(especially):
hele	(at least):
hele	(finally):
kart	yaşlı, ihtiyar
sikmek	, , , ,
İstanbul	,
lala	(2)
çarşı	(used much wider than çarşı)
bisiklet	, (chiefly Cyprus)
çok	(dialectal)
simit	gevrek
anüs	,
bir şey değil	(you're welcome)
bir şey değil	(not important)
kalp	(poetic)
yazma	(2)
yazma	, (3)
kümes	(dialectal)
kategori	, , , , ,
Allah'a ısmarladık	, ,
benci	(psychology)
çekmek	, ,
çekmek	, ,
çıkmak	,
ceset	(more polite)
etik	, ,
faks	belgeç
faks	belgegeçer
ibibik	,
hüthüt	,
hamsi	, , , , ,
benzin istasyonu	akaryakıt istasyonu
kadim	antik
kadim	antika
izbandut gibi	, ,
değişiklik	(difference)
çevirmek	(translate)
çevirmek	(turn over)
çevirmek	(dial on a modern telephone)
kalmak	,
bulmak	(outdated)
ihtiyar	(more common)
kırılmak	(to sulk)
kırılmak	(to sulk)
sorum	(more common)
veteriner	(rare and obsolete)
gökdelen	göktırmalayan
gökdelen	göktırmalayıcı
Amerika sakası	(or altunî iskete)
Amerikan sakası	(or altunî iskete
yoldaş	(1)
çıfıt	, ,
siğil	(slang)
sesli harf	(abbreviated)
sesli harf	(abbreviated)
sessiz harf	(abbreviated)
sessiz harf	(abbreviated)
ünsüz harf	(abbreviated)
ünsüz harf	(abbreviated)
ünlü harf	(abbreviated)
ünlü harf	(abbreviated)
haçlamak	(more common)
peder	,
anjiyografi	(more common)
kazı	(obsolete)
sülfür	(more common)
kızmak	,
parlatıcı	(1)
taşımak	,
taşımak	, , ,
eğlenmek	(2)
eğlenmek	(3) , , (vulgar, slang)
yumurtalık	(1)
şarapçı	, , ,
esmer	kara
esmer	(obsolete) karaşın
pezo	, , , , ,
aort	ana atardamar
asimptot	(very rare)
tahdit	(2)
tahdit	(1)
gamet	, ,
güçlü etkileşim	, ,
güçlü nükleer etkileşim	, ,
zayıf etkileşim	, ,
