# word	pos
# Extended English seed: ~250 words across all major POS classes
# Determiners
the	det
a	det
an	det
this	det
that	det
these	det
those	det
my	det
your	det
his	det
her	det
our	det
their	det
its	det
some	det
any	det
all	det
no	det
each	det
every	det
both	det
either	det
neither	det
much	det
many	det
few	det
several	det
most	det
# Common nouns
dog	noun
cat	noun
house	noun
car	noun
book	noun
water	noun
tree	noun
man	noun
woman	noun
child	noun
boy	noun
girl	noun
day	noun
night	noun
year	noun
month	noun
week	noun
hour	noun
minute	noun
time	noun
world	noun
earth	noun
country	noun
nation	noun
state	noun
city	noun
town	noun
village	noun
street	noun
road	noun
river	noun
mountain	noun
sea	noun
ocean	noun
forest	noun
field	noun
garden	noun
park	noun
school	noun
office	noun
hospital	noun
church	noun
store	noun
shop	noun
market	noun
restaurant	noun
hotel	noun
station	noun
airport	noun
bridge	noun
tower	noun
wall	noun
door	noun
window	noun
floor	noun
roof	noun
room	noun
kitchen	noun
bathroom	noun
bedroom	noun
table	noun
chair	noun
bed	noun
desk	noun
shelf	noun
phone	noun
computer	noun
camera	noun
clock	noun
watch	noun
bag	noun
box	noun
bottle	noun
cup	noun
plate	noun
knife	noun
fork	noun
spoon	noun
food	noun
bread	noun
meat	noun
fish	noun
fruit	noun
vegetable	noun
rice	noun
milk	noun
coffee	noun
tea	noun
wine	noun
beer	noun
sugar	noun
salt	noun
oil	noun
butter	noun
cheese	noun
egg	noun
apple	noun
banana	noun
orange	noun
flower	noun
grass	noun
leaf	noun
plant	noun
animal	noun
horse	noun
cow	noun
sheep	noun
pig	noun
chicken	noun
duck	noun
bird	noun
mouse	noun
fox	noun
wolf	noun
bear	noun
lion	noun
tiger	noun
elephant	noun
people	noun
person	noun
family	noun
mother	noun
father	noun
brother	noun
sister	noun
son	noun
daughter	noun
friend	noun
teacher	noun
student	noun
doctor	noun
worker	noun
artist	noun
king	noun
queen	noun
president	noun
soldier	noun
hand	noun
foot	noun
head	noun
face	noun
eye	noun
ear	noun
nose	noun
mouth	noun
hair	noun
heart	noun
mind	noun
body	noun
life	noun
death	noun
work	noun
job	noun
home	noun
place	noun
thing	noun
way	noun
idea	noun
problem	noun
question	noun
answer	noun
story	noun
song	noun
movie	noun
game	noun
sport	noun
music	noun
art	noun
science	noun
history	noun
language	noun
word	noun
letter	noun
number	noun
money	noun
price	noun
color	noun
sound	noun
light	noun
fire	noun
sun	noun
moon	noun
star	noun
sky	noun
cloud	noun
wind	noun
rain	noun
snow	noun
ice	noun
heat	noun
power	noun
energy	noun
# Adjectives
big	adj
small	adj
large	adj
huge	adj
tiny	adj
little	adj
new	adj
old	adj
young	adj
ancient	adj
modern	adj
good	adj
bad	adj
great	adj
nice	adj
fine	adj
poor	adj
rich	adj
high	adj
low	adj
tall	adj
short	adj
long	adj
wide	adj
narrow	adj
deep	adj
shallow	adj
thick	adj
thin	adj
fat	adj
slim	adj
heavy	adj
light	adj
hot	adj
cold	adj
warm	adj
cool	adj
wet	adj
dry	adj
hard	adj
soft	adj
smooth	adj
rough	adj
sharp	adj
blunt	adj
strong	adj
weak	adj
fast	adj
slow	adj
quick	adj
loud	adj
quiet	adj
silent	adj
bright	adj
dark	adj
clear	adj
clean	adj
dirty	adj
fresh	adj
empty	adj
full	adj
red	adj
blue	adj
green	adj
yellow	adj
black	adj
white	adj
gray	adj
brown	adj
pink	adj
purple	adj
golden	adj
silver	adj
beautiful	adj
ugly	adj
pretty	adj
handsome	adj
happy	adj
sad	adj
angry	adj
calm	adj
tired	adj
busy	adj
free	adj
safe	adj
dangerous	adj
easy	adj
difficult	adj
simple	adj
complex	adj
common	adj
rare	adj
real	adj
true	adj
false	adj
right	adj
wrong	adj
important	adj
useful	adj
useless	adj
possible	adj
impossible	adj
cheap	adj
expensive	adj
# Verbs
go	verb
come	verb
see	verb
look	verb
hear	verb
listen	verb
know	verb
think	verb
feel	verb
want	verb
need	verb
like	verb
love	verb
hate	verb
make	verb
do	verb
take	verb
get	verb
give	verb
put	verb
find	verb
lose	verb
keep	verb
hold	verb
have	verb
own	verb
use	verb
buy	verb
sell	verb
pay	verb
run	verb
walk	verb
jump	verb
sit	verb
stand	verb
lie	verb
sleep	verb
wake	verb
eat	verb
drink	verb
cook	verb
read	verb
write	verb
draw	verb
paint	verb
sing	verb
dance	verb
play	verb
work	verb
study	verb
learn	verb
teach	verb
speak	verb
talk	verb
say	verb
tell	verb
ask	verb
answer	verb
call	verb
help	verb
build	verb
break	verb
open	verb
close	verb
start	verb
stop	verb
begin	verb
end	verb
finish	verb
move	verb
turn	verb
push	verb
pull	verb
carry	verb
bring	verb
send	verb
receive	verb
# Adverbs
very	adv
really	adv
quite	adv
rather	adv
quickly	adv
slowly	adv
fast	adv
loudly	adv
quietly	adv
clearly	adv
nicely	adv
well	adv
badly	adv
now	adv
then	adv
soon	adv
later	adv
already	adv
yet	adv
still	adv
again	adv
once	adv
twice	adv
here	adv
there	adv
everywhere	adv
nowhere	adv
inside	adv
outside	adv
upstairs	adv
downstairs	adv
always	adv
never	adv
often	adv
sometimes	adv
seldom	adv
usually	adv
rarely	adv
together	adv
alone	adv
# Prepositions
in	prep
on	prep
at	prep
to	prep
from	prep
with	prep
without	prep
by	prep
for	prep
of	prep
about	prep
into	prep
onto	prep
under	prep
over	prep
above	prep
below	prep
between	prep
among	prep
through	prep
across	prep
around	prep
behind	prep
beside	prep
near	prep
during	prep
before	prep
after	prep
since	prep
until	prep
