# concept_id	english_anchor	gloss
c1	free	adj
c2	free	adv
c3	thesaurus	noun
c4	encyclopedia	noun
c5	portmanteau	noun
c6	cat	verb
c7	word	noun
c8	word	verb
c9	pound	noun
c10	pound	verb
c11	gdp	noun
c12	rain cats and dogs	verb
c13	pond	noun
c14	nonsense	noun
c15	nonsense	adj
c16	pie	noun
c17	pie	verb
c18	a	noun
c19	crow	noun
c20	crow	verb
c21	raven	noun
c22	brown	noun
c23	brown	adj
c24	brown	verb
c25	december	
c26	floccinaucinihilipilification	noun
c27	month	noun
c28	january	
c29	february	
c30	march	noun
c31	march	verb
c32	april	
c33	may	verb
c34	may	noun
c35	june	
c36	july	
c37	august	adj
c38	september	
c39	october	
c40	november	
c41	multiculturalism	noun
c42	current events	noun
c43	monday	noun
c44	monday	adv
c45	tuesday	noun
c46	tuesday	adv
c47	wednesday	noun
c48	wednesday	adv
c49	thursday	noun
c50	thursday	adv
c51	friday	noun
c52	friday	adv
c53	saturday	noun
c54	saturday	adv
c55	sunday	noun
c56	sunday	adv
c57	lexicography	noun
c58	antonym	noun
c59	connotation	noun
c60	denotation	noun
c61	synonym	noun
c62	dialect	noun
c63	hyponym	noun
c64	semantics	noun
c65	false friend	noun
c66	noun	noun
c67	hour	noun
c68	alphabetical	adj
c69	minute	noun
c70	minute	verb
c71	minute	adj
c72	barter	noun
c73	etymology	noun
c74	swap	noun
c75	trade	noun
c76	trade	verb
c77	quid pro quo	noun
c78	verb	noun
c79	adjective	noun
c80	adjective	adj
c81	adjective	verb
c82	craft	noun
c83	craft	verb
c84	adjectival	adj
c85	substantive	adj
c86	trade wind	noun
c87	patronage	noun
c88	deal	noun
c89	deal	verb
c90	merchandise	noun
c91	wares	noun
c92	product	noun
c93	eagle	noun
c94	pneumonoultramicroscopicsilicovolcanoconiosis	noun
c95	antidisestablishmentarianism	noun
c96	head	verb
c97	head	adj
c98	pumpkin	noun
c99	name	noun
c100	portmanteau word	noun
c101	f	noun
c102	fa	noun
c103	fabaceous	adj
c104	fabian	noun
c105	fable	noun
c106	fable	verb
c107	a-	
c108	aardvark	noun
c109	aardwolf	noun
c110	aaronic	adj
c111	aaron's rod	noun
c112	abaca	noun
c113	abacist	noun
c114	aback	adv
c115	abactinal	adj
c116	abactor	noun
c117	abaculus	noun
c118	abacus	noun
c119	abaddon	
c120	abaft	
c121	abaft	adv
c122	abalienate	verb
c123	abalienation	noun
c124	abalone	noun
c125	abandon	verb
c126	abandon	noun
c127	abandoned	adj
c128	abandoner	noun
c129	abandonment	noun
c130	abase	verb
c131	abasement	noun
c132	abash	verb
c133	abashment	noun
c134	abatable	adj
c135	abate	verb
c136	abatement	noun
c137	abatis	noun
c138	abattoir	noun
c139	abaxial	adj
c140	abbacy	noun
c141	abbatial	adj
c142	abbess	noun
c143	abbey	noun
c144	abbot	noun
c145	abbotship	noun
c146	abbreviate	verb
c147	abbreviated	adj
c148	abbreviation	noun
c149	abbreviator	noun
c150	abbreviatory	adj
c151	abbreviature	noun
c152	abderian	adj
c153	abderite	noun
c154	abdicable	adj
c155	abdicant	noun
c156	abdicate	verb
c157	abdication	noun
c158	abdicative	adj
c159	abdomen	noun
c160	abdominal	adj
c161	abdominoscopy	noun
c162	abdominous	adj
c163	abduce	verb
c164	abduct	verb
c165	abduction	noun
c166	abductor	noun
c167	abeam	adv
c168	abecedary	noun
c169	abed	adv
c170	abelian	adj
c171	abelmosk	noun
c172	aberrance	noun
c173	aberrant	adj
c174	aberrant	noun
c175	aberrate	verb
c176	aberration	noun
c177	aberrational	adj
c178	abet	verb
c179	abetment	noun
c180	abeyance	noun
c181	abhor	verb
c182	abhorrence	noun
c183	abhorrent	adj
c184	abide	verb
c185	abiding	adj
c186	abietic	adj
c187	abietin	noun
c188	abigail	noun
c189	ability	noun
c190	abiogenesis	noun
c191	abiogenetic	adj
c192	abiological	adj
c193	abirritant	adj
c194	abirritate	verb
c195	abject	adj
c196	abject	noun
c197	abject	verb
c198	abjection	noun
c199	abjectly	adv
c200	abjuration	noun
c201	abjuratory	adj
c202	abjure	verb
c203	abjurer	noun
c204	ablactation	noun
c205	ablaqueation	noun
c206	ablastemic	adj
c207	ablation	noun
c208	ablative	adj
c209	ablaut	noun
c210	ablaze	adj
c211	ablaze	adv
c212	able	adj
c213	able-bodied	adj
c214	ablegate	noun
c215	ablegation	noun
c216	ablet	noun
c217	abloom	adv
c218	abluent	adj
c219	ablution	noun
c220	ably	adv
c221	abnegate	verb
c222	abnegation	noun
c223	abnormal	adj
c224	abnormality	noun
c225	abnormally	adv
c226	aboard	adv
c227	aboard	
c228	abode	noun
c229	abolish	verb
c230	abolishable	adj
c231	abolisher	noun
c232	abolishment	noun
c233	abolition	noun
c234	abolitionism	noun
c235	abolitionist	adj
c236	abolitionist	noun
c237	abomasum	noun
c238	abominable	adj
c239	abominably	adv
c240	abominate	verb
c241	abomination	noun
c242	aboral	adj
c243	aboriginal	adj
c244	aboriginal	noun
c245	abort	noun
c246	abort	verb
c247	aborted	adj
c248	abortifacient	adj
c249	abortifacient	noun
c250	abortion	noun
c251	abortional	adj
c252	abortionist	noun
c253	abortive	adj
c254	abortive	noun
c255	abortiveness	noun
c256	abound	verb
c257	about	
c258	about	adv
c259	above	
c260	above	adv
c261	above	adj
c262	above-mentioned	adj
c263	abovesaid	adj
c264	abracadabra	noun
c265	abrade	verb
c266	abrahamic	adj
c267	abrasion	noun
c268	abrasive	adj
c269	abrasive	noun
c270	abreast	adv
c271	abrenunciation	noun
c272	abridge	verb
c273	abridger	noun
c274	abridgment	noun
c275	abroach	adj
c276	abroad	adv
c277	abroad	noun
c278	abroad	
c279	abrogable	adj
c280	abrogate	verb
c281	abrogation	noun
c282	abrogative	adj
c283	abrupt	adj
c284	abrupt	verb
c285	abruptly	adv
c286	abscess	noun
