# lang	suffix	inferred_pos	confidence	sample_size
ar	َة	noun	0.91	23
ar	رَ	verb	1.00	11
ar	لَ	verb	1.00	9
ar	بَ	verb	1.00	8
ar	عَ	verb	1.00	8
ar	ْل	noun	0.67	6
ar	لَة	noun	1.00	6
ar	يّ	adj	0.83	6
ar	مَ	verb	1.00	6
ar	َرَ	verb	1.00	6
ar	يف	adj	0.80	5
ar	ِيف	adj	0.80	5
ar	َلَ	verb	1.00	5
ar	حَ	verb	1.00	5
ar	فَ	verb	1.00	5
ar	َى	verb	1.00	5
ar	َّ	verb	1.00	5
ar	دَ	verb	1.00	5
ar	ير	adj	1.00	4
ar	ِير	adj	1.00	4
ar	ال	noun	0.75	4
ar	َبَ	verb	1.00	4
ar	َفَ	verb	1.00	4
ar	قَ	verb	1.00	4
ar	نَ	verb	1.00	4
ar	َنَ	verb	1.00	4
ar	َعَ	verb	1.00	4
ar	ِيّ	adj	0.75	4
ar	ان	adj	1.00	4
ar	ّمَ	verb	1.00	4
ar	َّمَ	verb	1.00	4
ar	َدَ	verb	1.00	4
ar	عَة	noun	1.00	3
ar	َاء	noun	0.67	3
ar	يء	adj	1.00	3
ar	ِيء	adj	1.00	3
ar	ثَ	verb	1.00	3
ar	ول	adj	0.67	3
ar	ُول	adj	0.67	3
ar	ْلَة	noun	1.00	3
ar	َال	noun	1.00	3
ar	ِبَ	verb	1.00	3
ar	يع	adj	1.00	3
ar	ِيع	adj	1.00	3
ar	يق	adj	0.67	3
ar	ِيق	adj	0.67	3
ar	َحَ	verb	1.00	3
ar	َان	adj	1.00	3
ar	نّ	adj	0.67	3
ar	ِح	adj	1.00	3
ar	ظَ	verb	1.00	3
ar	َظَ	verb	1.00	3
ar	ِع	adj	0.67	3
ar	سَ	verb	1.00	3
ar	َسَ	verb	1.00	3
ar	يَ	verb	1.00	3
ar	ِيَ	verb	1.00	3
ar	ّلَ	verb	1.00	3
ar	َّلَ	verb	1.00	3
ar	دَة	verb	0.67	3
de	en	verb	0.93	137
de	ig	adj	1.00	20
de	ren	verb	1.00	19
de	ken	verb	1.00	18
de	gen	verb	0.81	16
de	sen	verb	0.79	14
de	hen	verb	1.00	13
de	ssen	verb	0.75	12
de	len	verb	1.00	12
de	ch	adj	1.00	11
de	cken	verb	1.00	10
de	fen	verb	0.90	10
de	chen	verb	1.00	10
de	eren	verb	1.00	10
de	nen	verb	1.00	8
de	den	verb	0.86	7
de	ung	noun	0.86	7
de	ten	verb	1.00	7
de	hren	verb	1.00	7
de	ich	adj	1.00	7
de	ngen	verb	0.83	6
de	nd	adj	0.67	6
de	nnen	verb	1.00	6
de	nken	verb	1.00	6
de	ufen	verb	0.83	6
de	lich	adj	1.00	6
de	tig	adj	1.00	5
de	el	adj	0.80	5
de	hlen	verb	1.00	5
de	ht	adj	1.00	5
de	cht	adj	1.00	5
de	ben	verb	0.75	4
de	rn	verb	1.00	4
de	ern	verb	1.00	4
de	rig	adj	1.00	4
de	ter	noun	0.75	4
de	ei	adj	1.00	3
de	rei	adj	1.00	3
de	de	noun	0.67	3
de	eit	adj	0.67	3
de	nden	verb	1.00	3
de	se	adj	0.67	3
de	hten	verb	1.00	3
de	ehen	verb	1.00	3
de	ld	noun	1.00	3
de	eld	noun	1.00	3
de	egen	verb	1.00	3
de	ßen	verb	1.00	3
de	men	verb	1.00	3
de	rt	adj	0.67	3
de	nung	noun	0.67	3
de	ön	adj	1.00	3
de	st	adj	1.00	3
de	sten	verb	1.00	3
de	zig	adj	1.00	3
de	kt	adj	1.00	3
de	htig	adj	1.00	3
de	elen	verb	1.00	3
es	ar	verb	0.98	168
es	do	adj	0.87	55
es	er	verb	1.00	34
es	ado	adj	0.79	28
es	tar	verb	0.96	26
es	ear	verb	1.00	21
es	to	adj	0.70	20
es	ir	verb	1.00	20
es	se	verb	1.00	20
es	rse	verb	1.00	19
es	ro	adj	0.81	16
es	rar	verb	1.00	16
es	co	adj	0.87	15
es	ido	adj	0.93	15
es	lar	verb	1.00	14
es	te	adj	0.85	13
es	arse	verb	1.00	12
es	no	adj	0.73	11
es	ra	noun	0.67	9
es	dar	verb	1.00	9
es	nar	verb	1.00	9
es	cer	verb	1.00	9
es	car	verb	1.00	9
es	vo	adj	0.88	8
es	''	verb	0.75	8
es	ntar	verb	1.00	8
es	gar	verb	0.88	8
es	de	verb	0.75	8
es	so	adj	1.00	8
es	re	adj	0.86	7
es	nte	adj	0.86	7
es	iar	verb	1.00	7
es	par	verb	1.00	7
es	sar	verb	1.00	7
es	ndo	adj	1.00	7
es	na	noun	0.83	6
es	ero	adj	0.83	6
es	ho	adj	0.67	6
es	cho	adj	0.67	6
es	 de	verb	1.00	6
es	ñar	verb	1.00	6
es	le	adj	0.67	6
es	oso	adj	1.00	6
es	ia	noun	1.00	5
es	var	verb	1.00	5
es	tear	verb	1.00	5
es	ico	adj	1.00	5
es	zar	verb	1.00	5
es	erse	verb	1.00	5
es	star	verb	0.80	5
es	ecer	verb	1.00	5
es	uco	adj	1.00	5
es	zo	adj	1.00	4
es	ente	adj	1.00	4
es	sado	adj	1.00	4
es	or	adj	1.00	4
es	dir	verb	1.00	4
es	cir	verb	1.00	4
es	ner	verb	1.00	4
es	inar	verb	1.00	4
es	der	verb	1.00	4
es	ano	adj	0.75	4
es	aer	verb	1.00	4
es	ío	adj	0.75	4
es	ino	adj	0.75	4
es	jar	verb	1.00	4
es	rear	verb	1.00	4
es	go	noun	0.75	4
es	jo	adj	1.00	4
es	jado	adj	1.00	3
es	lto	adj	1.00	3
es	ma	noun	0.67	3
es	ivo	adj	0.67	3
es	eno	adj	0.67	3
es	ber	verb	1.00	3
es	mar	verb	1.00	3
es	evar	verb	1.00	3
es	ciar	verb	1.00	3
es	ie	verb	1.00	3
es	pie	verb	1.00	3
es	 pie	verb	1.00	3
es	cido	adj	1.00	3
es	icar	verb	1.00	3
es	rtar	verb	1.00	3
es	uir	verb	1.00	3
es	 es	verb	1.00	3
es	r de	verb	1.00	3
es	eer	verb	1.00	3
es	bo	adj	0.67	3
es	bar	verb	0.67	3
es	avo	adj	1.00	3
es	río	adj	1.00	3
es	ante	adj	0.67	3
es	ilo	adj	0.67	3
es	ble	adj	1.00	3
es	al	adj	0.67	3
es	aro	adj	1.00	3
es	en	adj	0.67	3
es	har	verb	1.00	3
es	char	verb	1.00	3
es	orar	verb	1.00	3
es	brar	verb	1.00	3
es	ucir	verb	1.00	3
es	ada	noun	0.67	3
es	il	adj	1.00	3
es	ilar	verb	1.00	3
es	onar	verb	1.00	3
es	llo	noun	0.67	3
es	uar	verb	1.00	3
es	cio	noun	0.67	3
es	rido	adj	1.00	3
es	ondo	adj	1.00	3
es	echo	adj	0.67	3
es	itar	verb	1.00	3
es	e''	verb	1.00	3
es	ke''	verb	1.00	3
es	sta	verb	1.00	3
es	usta	verb	1.00	3
fr	er	verb	0.96	75
fr	re	verb	0.66	35
fr	le	adj	0.67	15
fr	ter	verb	1.00	12
fr	ir	verb	1.00	12
fr	ler	verb	1.00	11
fr	ire	verb	0.90	10
fr	tre	verb	0.67	9
fr	ser	verb	1.00	8
fr	ner	verb	1.00	6
fr	ux	adj	1.00	6
fr	eux	adj	1.00	6
fr	rer	verb	1.00	5
fr	her	verb	0.80	5
fr	dre	verb	1.00	5
fr	ile	adj	0.80	5
fr	it	adj	0.75	4
fr	cher	verb	1.00	4
fr	 à	verb	1.00	4
fr	nir	verb	1.00	4
fr	ître	verb	1.00	4
fr	ndre	verb	1.00	4
fr	ier	verb	0.75	4
fr	in	adj	0.75	4
fr	ller	verb	1.00	4
fr	ble	adj	1.00	3
fr	nte	adj	0.67	3
fr	lle	noun	0.67	3
fr	ille	noun	0.67	3
fr	yer	verb	1.00	3
fr	ion	noun	0.67	3
fr	tion	noun	0.67	3
fr	ger	verb	0.67	3
fr	iter	verb	1.00	3
fr	uer	verb	1.00	3
fr	oire	verb	0.67	3
fr	mer	verb	1.00	3
fr	id	adj	1.00	3
fr	uter	verb	1.00	3
fr	bler	verb	1.00	3
fr	enir	verb	1.00	3
fr	cile	adj	0.67	3
fr	tir	verb	1.00	3
fr	der	verb	1.00	3
fr	se	adj	0.67	3
fr	ée	noun	0.67	3
fr	 de	verb	0.67	3
fr	he	adj	1.00	3
fr	che	adj	1.00	3
he	ַר	verb	0.75	4
he	יד	verb	0.75	4
he	ַע	verb	1.00	4
he	ֹן	noun	1.00	3
he	וֹן	noun	1.00	3
he	נָה	verb	0.67	3
he	נה	adj	0.67	3
he	יל	adj	0.67	3
he	יע	verb	1.00	3
he	וה	verb	0.67	3
it	re	verb	0.93	103
it	are	verb	0.97	64
it	ere	verb	0.95	20
it	do	adj	0.94	17
it	tare	verb	0.94	16
it	ire	verb	1.00	13
it	co	adj	0.77	13
it	ato	adj	0.83	12
it	le	adj	0.92	12
it	te	adj	0.82	11
it	nte	adj	0.80	10
it	ro	adj	0.78	9
it	iare	verb	1.00	9
it	si	verb	1.00	9
it	rsi	verb	1.00	9
it	rare	verb	1.00	9
it	so	adj	1.00	9
it	dere	verb	1.00	8
it	ero	adj	0.71	7
it	ido	adj	0.86	7
it	arsi	verb	1.00	7
it	ile	adj	1.00	7
it	ante	adj	0.67	6
it	dare	verb	1.00	5
it	ico	adj	0.80	5
it	bile	adj	1.00	5
it	vare	verb	1.00	5
it	etto	noun	0.80	5
it	ra	noun	0.75	4
it	one	noun	0.75	4
it	ione	noun	0.75	4
it	da	noun	0.75	4
it	cere	verb	1.00	4
it	nare	verb	1.00	4
it	ente	adj	1.00	4
it	sto	adj	1.00	4
it	rire	verb	1.00	4
it	care	verb	1.00	4
it	na	noun	1.00	4
it	nato	adj	1.00	4
it	oso	adj	1.00	4
it	se	adj	0.67	3
it	uire	verb	1.00	3
it	ice	adj	0.67	3
it	ano	noun	0.67	3
it	zza	verb	0.67	3
it	lo	noun	0.67	3
it	llo	noun	0.67	3
it	cio	adj	1.00	3
it	ddo	adj	1.00	3
it	eddo	adj	1.00	3
it	ldo	adj	1.00	3
it	aldo	adj	1.00	3
it	ole	adj	1.00	3
it	zare	verb	1.00	3
it	ina	noun	1.00	3
it	lare	verb	0.67	3
it	ma	noun	1.00	3
nl	en	verb	0.93	125
nl	ten	verb	0.83	18
nl	ken	verb	1.00	17
nl	ig	adj	1.00	17
nl	gen	verb	0.92	13
nl	ren	verb	1.00	13
nl	den	verb	0.91	11
nl	len	verb	1.00	11
nl	nd	adj	0.70	10
nl	ng	noun	0.80	10
nl	eren	verb	1.00	9
nl	jk	adj	1.00	9
nl	ijk	adj	1.00	9
nl	ing	noun	0.88	8
nl	elen	verb	1.00	8
nl	pen	verb	0.86	7
nl	ngen	verb	0.86	7
nl	el	adj	0.71	7
nl	ven	verb	0.86	7
nl	end	adj	1.00	6
nl	even	verb	0.83	6
nl	an	verb	0.67	6
nl	nen	verb	1.00	6
nl	aken	verb	1.00	6
nl	lijk	adj	1.00	6
nl	dig	adj	1.00	5
nl	de	noun	0.75	4
nl	nden	verb	1.00	4
nl	ggen	verb	1.00	4
nl	aan	verb	0.75	4
nl	nnen	verb	1.00	4
nl	nken	verb	1.00	4
nl	iten	verb	1.00	4
nl	open	verb	1.00	4
nl	kken	verb	1.00	4
nl	rd	adj	0.75	4
nl	tig	adj	1.00	4
nl	men	verb	1.00	4
nl	rig	adj	1.00	4
nl	erig	adj	1.00	4
nl	ij	adj	1.00	3
nl	os	adj	1.00	3
nl	sen	verb	0.67	3
nl	is	noun	1.00	3
nl	nis	noun	1.00	3
nl	eten	verb	1.00	3
nl	uw	adj	1.00	3
nl	auw	adj	1.00	3
nl	ar	adj	1.00	3
nl	aar	adj	1.00	3
nl	rden	verb	1.00	3
nl	ie	noun	1.00	3
